"Election for","Highland 2022 - Ward 14 - Inverness Central"
"Date","01 Aug 2024"
"Number to be elected",3
"Valid votes",3286
"Invalid votes",0
"Quota",822.00000
"OpenSTV","1.7"
"Election rules","Scottish STV"
 ,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9,"Stage",10
 ,"First","Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
 "Candidates","Preferences","Luigi Andrew MACKINNON (Ind)",,"Sean ROBERTSON (TUSC)",,"John William MCCOLL (ScFam)",,"Andrew BARNETT (Ind)",,"Bet MCALLISTER (Lab)",,"Martin RATTRAY (LD)",,"Arun SHARMA (Grn)",,"Michael CAMERON (SNP)",,"Donald MACKENZIE (C)",
 "Andrew BARNETT (Ind)",141,+11.00000,152.00000,+10.00000,162.00000,+11.00000,173.00000,-173.00000,"-",,"-",,"-",,"-",,"-",,"-",
 "Michael CAMERON (SNP)",769,+1.00000,770.00000,+2.00000,772.00000,+1.00000,773.00000,+23.00000,796.00000,+1.37088,797.37088,+12.21420,809.58508,+58.27846,867.86354,-45.86354,822.00000,,822.00000,"Elected"
 "Donald MACKENZIE (C)",420,+1.00000,421.00000,+3.00000,424.00000,+13.00000,437.00000,+18.00000,455.00000,+2.05632,457.05632,+53.26378,510.32010,+16.23562,526.55572,+0.90167,527.45739,-527.45739,"-",
 "Luigi Andrew MACKINNON (Ind)",26,-26.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",
 "Kate MACLEAN (SNP)",589,,589.00000,+2.00000,591.00000,+2.00000,593.00000,+19.00000,612.00000,+1.97064,613.97064,+14.19278,628.16342,+138.55692,766.72034,+40.63875,807.35909,+60.34207,867.70116,"Elected"
 "Bet MCALLISTER (Lab)",793,,793.00000,+12.00000,805.00000,+6.00000,811.00000,+29.00000,840.00000,-18.00000,822.00000,,822.00000,,822.00000,,822.00000,,822.00000,"Elected"
 "John William MCCOLL (ScFam)",45,+5.00000,50.00000,+4.00000,54.00000,-54.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",
 "Martin RATTRAY (LD)",211,,211.00000,+1.00000,212.00000,+6.00000,218.00000,+11.00000,229.00000,+5.50494,234.50494,-234.50494,"-",,"-",,"-",,"-",
 "Sean ROBERTSON (TUSC)",47,,47.00000,-47.00000,"-",,"-",,"-",,"-",,"-",,"-",,"-",,"-",
 "Arun SHARMA (Grn)",245,+5.00000,250.00000,+8.00000,258.00000,+4.00000,262.00000,+30.00000,292.00000,+1.77786,293.77786,+53.89964,347.67750,-347.67750,"-",,"-",,"-",
 "Non-transferable", ,+3.00000,3.00000,+5.00000,8.00000,+11.00000,19.00000,+43.00000,62.00000,+5.31936,67.31936,+100.93454,168.25390,+134.60650,302.86040,+4.32312,307.18352,+467.11532,774.29884,
 "Totals",3286,,3286.00000,,3286.00000,,3286.00000,,3286.00000,,3286.00000,,3286.00000,,3286.00000,,3286.00000,,3286.00000
 
