"Election for","Highland 2022 - Ward 18 - Nairn and Cawdor"
"Date","01 Aug 2024"
"Number to be elected",4
"Valid votes",5156
"Invalid votes",0
"Quota",1032.00000
"OpenSTV","1.7"
"Election rules","Scottish STV"
 ,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
 ,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",,"Exclusion of",
 "Candidates","Preferences","Paul OLDHAM (SNP)",,"Laurie FRASER (Ind)",,"Cal MACLEOD (ScFam)",,"Marjory SMITH (Alba)",,"Michael GREEN (Ind)",,"Kevin BROOKS (Ind)",,"Kevin James REID (LD)",
 "Kevin BROOKS (Ind)",192,+37.92672,229.92672,+24.09760,254.02432,+8.97859,263.00291,+31.91210,294.91501,+6.86100,301.77601,-301.77601,"-",,"-",
 "Laurie FRASER (Ind)",1215,,1215.00000,-183.00000,1032.00000,,1032.00000,,1032.00000,,1032.00000,,1032.00000,,1032.00000,"Elected"
 "Michael GREEN (Ind)",857,+72.16612,929.16612,+86.60075,1015.76687,+8.73089,1024.49776,+29.63651,1054.13427,-22.13427,1032.00000,,1032.00000,,1032.00000,"Elected"
 "Barbara Babs JARVIE (C)",836,+4.21408,840.21408,+21.08540,861.29948,+4.82798,866.12746,+6.05352,872.18098,+3.32795,875.50893,+38.52494,914.03387,+247.53568,1161.56955,"Elected"
 "Cal MACLEOD (ScFam)",38,+10.53520,48.53520,+1.80732,50.34252,-50.34252,"-",,"-",,"-",,"-",,"-",
 "Paul OLDHAM (SNP)",1401,-369.00000,1032.00000,,1032.00000,,1032.00000,,1032.00000,,1032.00000,,1032.00000,,1032.00000,"Elected"
 "Kevin James REID (LD)",540,+69.26894,609.26894,+22.29028,631.55922,+8.72516,640.28438,+25.98130,666.26568,+5.68371,671.94939,+111.88832,783.83771,-783.83771,"-",
 "Marjory SMITH (Alba)",77,+65.84500,142.84500,+3.01220,145.85720,+6.05352,151.91072,-151.91072,"-",,"-",,"-",,"-",
 "Non-transferable", ,+109.04394,109.04394,+24.10645,133.15039,+13.02638,146.17677,+58.32729,204.50406,+6.26161,210.76567,+151.36275,362.12842,+536.30203,898.43045,
 "Totals",5156,,5156.00000,,5156.00000,,5156.00000,,5156.00000,,5156.00000,,5156.00000,,5156.00000
 
