Election for,Inverclyde 2022 - Ward 3 - Inverclyde Central,,,,,,,,,
Date,12 Jul 2025,,,,,,,,,
Number to be elected,3,,,,,,,,,
Valid votes,2828,,,,,,,,,
Invalid votes,0,,,,,,,,,
Quota,708,,,,,,,,,
OpenSTV,1.7,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,
 ,First,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Pam ARMSTRONG (SNP),,Michael MCCORMICK (Lab),,Jim MCELENY (Alba),,Ian BRYSON (C),,
Pam ARMSTRONG (SNP),968,-260,708,,708,,708,,708,Elected
Michael MCCORMICK (Lab),753,,753,-45,708,,708,,708,Elected
Colin JACKSON (Lab),599,18.26412,617.26412,33.7644,651.02852,24.38908,675.4176,107.46313,782.88073,Elected
Agnes MCAULEY (SNP),231,219.43803,450.43803,2.0916,452.52963,56.52153,509.05116,7.05976,516.11092,
Ian BRYSON (C),169,1.07436,170.07436,1.01592,171.09028,5.26859,176.35887,-176.35887,-,
Jim MCELENY (Alba),108,7.78911,115.78911,2.03184,117.82095,-117.82095,-,,-,
Non-transferable, ,13.43438,13.43438,6.09624,19.53062,31.64175,51.17237,61.83598,113.00835,
Totals,2828,,2828,,2828,,2828,,2828,
 ,,,,,,,,,,
,,,,,696.23469,,680.413815,,649.495825,
,,,,,45.20617,,4.99621499999989,,-133.384905,
