Election for,Inverclyde 2022 - Ward 4 - Inverclyde North,,,,,,,,,,,,,,,
Date,12 Jul 2025,,,,,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,,,,,
Valid votes,5041,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,
Quota,1009,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,
 ,First,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Francesca BRENNAN (Lab),,Elizabeth ROBERTSON (SNP),,Philomena DONNACHIE (Alba),,John DAVIDSON (Pens),,Jacci STOYLE (LD),,Gillian MAXWELL (Ind),,Jenn SCOTT-MCCLAFFERTY (SNP),,
Francesca BRENNAN (Lab),1284,-275,1009,,1009,,1009,,1009,,1009,,1009,,1009,Elected
Elizabeth ROBERTSON (SNP),1122,,1122,-113,1009,,1009,,1009,,1009,,1009,,1009,Elected
Graeme BROOKS (C),761,26.77125,787.77125,1.30923,789.08048,2.31488,791.39536,9,800.39536,86.12895,886.52431,109.24241,995.76672,22.25387,1018.02059,Elected
Jenn SCOTT-MCCLAFFERTY (SNP),606,9.63765,615.63765,97.58799,713.22564,24.91914,738.14478,6.21417,744.35895,22.04535,766.4043,59.80842,826.21272,-826.21272,-,
Jim CLOCHERTY (Lab),526,190.39713,716.39713,3.12201,719.51914,9.41559,728.93473,4.52905,733.46378,65.90041,799.36419,63.58553,862.94972,275.41409,1138.36381,Elected
Jacci STOYLE (LD),312,11.35101,323.35101,1.71207,325.06308,5,330.06308,6.85668,336.91976,-336.91976,-,,-,,-,
Gillian MAXWELL (Ind),285,10.92267,295.92267,3.0213,298.94397,10.62976,309.57373,38.41559,347.98932,74.80132,422.79064,-422.79064,-,,-,
John DAVIDSON (Pens),75,2.99838,77.99838,0.50355,78.50193,7.31488,85.81681,-85.81681,-,,-,,-,,-,
Philomena DONNACHIE (Alba),70,1.49919,71.49919,1.81278,73.31197,-73.31197,-,,-,,-,,-,,-,
Non-transferable, ,21.42272,21.42272,3.93107,25.35379,13.71772,39.07151,20.80132,59.87283,88.04373,147.91656,190.15428,338.07084,528.54476,866.6156,
Totals,5041,,5041,,5041,,5041,,5041,,5041,,5041,,5041,
 ,,,,,,,,,,,,,,,,
,,,,,999.215403333333,,,,987.709056666667,,958.361146666667,,844.58122,,,
,,,,,210.134923333333,,,,187.313696666667,,71.8368366666667,,-151.1855,,,
