Election for,Inverclyde 2022 - Ward 6 - Inverclyde South West,,,,,,,,,,,
Date,12 Jul 2025,,,,,,,,,,,
Number to be elected,3,,,,,,,,,,,
Valid votes,4061,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,
Quota,1016,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,
 ,First,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,James DAISLEY (SNP),,Paul CASSIDY (Lab),,Alasdair HIGGINS (LD),,Paul TRAVERS (Ind),,Lisa DALLAS (C),,
James DAISLEY (SNP),1206,-190,1016,,1016,,1016,,1016,,1016,Elected
Paul CASSIDY (Lab),1175,,1175,-159,1016,,1016,,1016,,1016,Elected
Innes NELSON (SNP),606,149.663,755.663,19.21402,774.87702,40.90888,815.7859,110.18113,925.96703,131.6022,1057.56923,Elected
Lisa DALLAS (C),507,3.1508,510.1508,30.44475,540.59555,92.22978,632.82533,94.84056,727.66589,-727.66589,-,
Paul TRAVERS (Ind),316,10.55518,326.55518,17.31968,343.87486,68.09898,411.97384,-411.97384,-,,-,
Alasdair HIGGINS (LD),251,8.82224,259.82224,46.95257,306.77481,-306.77481,-,,-,,-,
Non-transferable, ,17.80878,17.80878,45.06898,62.87776,105.53717,168.41493,206.95215,375.36708,596.06369,971.43077,
Totals,4061,,4061,,4061,,4061,,4061,,4061,
 ,,,,,,,,,,,,
,,,,,983.06112,,930.292535,,826.81646,,,
,,,,,208.1841,,114.506635,,-99.15057,,,
