Election for,Inverclyde 2022 - Ward 7 - Inverclyde South,,,,,,,
Date,12 Jul 2025,,,,,,,
Number to be elected,3,,,,,,,
Valid votes,3157,,,,,,,
Invalid votes,0,,,,,,,
Quota,790,,,,,,,
OpenSTV,1.7,,,,,,,
Election rules,Scottish STV,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,
 ,First,Surplus of,,Surplus of,,Exclusion of,,
Candidates,Preferences,John CROWTHER (SNP),,Natasha MCGUIRE (Lab),,Georgina HALFNIGHT (C),,
John CROWTHER (SNP),972,-182,790,,790,,790,Elected
Natasha MCGUIRE (Lab),891,,891,-101,790,,790,Elected
Tommy MCVEY (Ind),730,13.1068,743.1068,34.79845,777.90525,138.08228,915.98753,Elected
Irene MCLEOD (SNP),359,147.54512,506.54512,14.9622,521.50732,6.54241,528.04973,
Georgina HALFNIGHT (C),205,2.24688,207.24688,12.80855,220.05543,-220.05543,-,
Non-transferable, ,19.1012,19.1012,38.4308,57.532,75.43074,132.96274,
Totals,3157,,3157,,3157,,3157,
 ,,,,,,,,
,,,778.9494,,759.734,,,
,,,35.8426,,-18.1712500000001,,,
