Election for,Midlothian 2022 - Ward 2 - Bonnyrigg,,,,,,,
Date,08 Jul 2025,,,,,,,
Number to be elected,3,,,,,,,
Valid votes,6016,,,,,,,
Invalid votes,0,,,,,,,
Quota,1505,,,,,,,
OpenSTV,1.7,,,,,,,
Election rules,Scottish STV,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,
 ,First,Surplus of,,Surplus of,,Exclusion of,,
Candidates,Preferences,Derek MILLIGAN (Lab),,Dianne ALEXANDER (SNP),,Daya FELDWICK (Grn),,
Derek MILLIGAN (Lab),2428,-923,1505,,1505,,1505,Elected
Dianne ALEXANDER (SNP),2117,,2117,-612,1505,,1505,Elected
David VIRGO (C),1012,287.0057,1299.0057,24.86088,1323.86658,396.20142,1720.068,Elected
Daya FELDWICK (Grn),459,276.74192,735.74192,419.74416,1155.48608,-1155.48608,-,
Non-transferable, ,359.25238,359.25238,167.39496,526.64734,759.28466,1285.932,
Totals,6016,,6016,,6016,,6016,
 ,,,,,,,,
,,,1323.37381,,1239.67633,,,
,,,24.3681100000001,,-84.1902499999999,,,
