Election for,Midlothian 2022 - Ward 4 - Midlothian West,,,,,,,,,,,
Date,08 Jul 2025,,,,,,,,,,,
Number to be elected,3,,,,,,,,,,,
Valid votes,6162,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,
Quota,1541,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,
 ,First,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Russell IMRIE (Lab),,Andrew COVENTRY (Alba),,Richard Philip CHANDLER (LD),,Jill SIMON (Grn),,Pat KENNY (SNP),,
Russell IMRIE (Lab),1645,-104,1541,,1541,,1541,,1541,,1541,Elected
Pat KENNY (SNP),1149,9.29334,1158.29334,18.06322,1176.35656,30.5805,1206.93706,163.65524,1370.5923,-1370.5923,-,
Pauline WINCHESTER (C),1144,17.7016,1161.7016,6.18966,1167.89126,155.86232,1323.75358,63.22422,1386.9778,10.25288,1397.23068,Elected
Kelly PARRY (SNP),1126,5.56336,1131.56336,12,1143.56336,15.9483,1159.51166,290.03456,1449.54622,1194.10368,2643.6499,Elected
Jill SIMON (Grn),624,12.77044,636.77044,12.44254,649.21298,124.10368,773.31666,-773.31666,-,,-,
Richard Philip CHANDLER (LD),400,31.10424,431.10424,10.07474,441.17898,-441.17898,-,,-,,-,
Andrew COVENTRY (Alba),74,2.08626,76.08626,-76.08626,-,,-,,-,,-,
Non-transferable, ,25.48076,25.48076,17.3161,42.79686,114.68418,157.48104,256.40264,413.88368,166.23574,580.11942,
Totals,6162,,6162,,6162,,6162,,6162,,6162,
 ,,,,,,,,,,,,
,,,1531.83974666667,,,,1487.83965333333,,1378.78505,,,
,,,370.138146666666,,,,164.086073333333,,-70.76117,,,
