Election for,Midlothian 2022 - Ward 5 - Midlothian East,,,,,,,,,
Date,08 Jul 2025,,,,,,,,,
Number to be elected,3,,,,,,,,,
Valid votes,4942,,,,,,,,,
Invalid votes,0,,,,,,,,,
Quota,1236,,,,,,,,,
OpenSTV,1.7,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,
 ,First,Surplus of,,Exclusion of,,Surplus of,,Exclusion of,,
Candidates,Preferences,Bryan POTTINGER (Lab),,Jenny Claire MARR (LD),,Peter SMAILL (C),,Bill KERR-SMITH (Grn),,
Bryan POTTINGER (Lab),1473,-237,1236,,1236,,1236,,1236,Elected
Peter SMAILL (C),1106,47.30166,1153.30166,102.41078,1255.71244,-19.71244,1236,,1236,Elected
Stuart Douglas MCKENZIE (SNP),1045,15.92811,1060.92811,18.86136,1079.78947,0.48777,1080.27724,173.8726,1254.14984,Elected
Ann MONTAGUE (SNP),616,18.34146,634.34146,23.25246,657.59392,0.67044,658.26436,147.73495,805.99931,
Bill KERR-SMITH (Grn),428,28.15575,456.15575,119.72015,575.8759,2.90337,578.77927,-578.77927,-,
Jenny Claire MARR (LD),274,62.90799,336.90799,-336.90799,-,,-,,-,
Non-transferable, ,64.36503,64.36503,72.66324,137.02827,15.65086,152.67913,257.17172,409.85085,
Totals,4942,,4942,,4942,,4942,,4942,
 ,,,,,,,,,,
,,,1217.21165666667,,1176.485865,,1168.660435,,1040.074575,
,,,63.9099966666665,,96.6963950000002,,88.3831949999999,,-214.075265,
