Election for,Midlothian 2022 - Ward 6 - Midlothian South,,,,,,,,,,,,,
Date,08 Jul 2025,,,,,,,,,,,,,
Number to be elected,3,,,,,,,,,,,,,
Valid votes,4954,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,
Quota,1239,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,
 ,First,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Kelly DRUMMOND (Lab),,Christopher Ringland HAMPTON (Alba),,Daniel FRASER (Libtn),,Malcolm Gray SPAVEN (Grn),,Robin STENHOUSE (C),,Hazel FLANAGAN (Lab),,
Kelly DRUMMOND (Lab),1243,-4,1239,,1239,,1239,,1239,,1239,,1239,Elected
Ellen SCOTT (SNP),1045,0.08988,1045.08988,6,1051.08988,2,1053.08988,132.00642,1185.0963,21.00963,1206.10593,139.4494,1345.55533,Elected
Douglas BOWEN (SNP),1005,0.1284,1005.1284,8,1013.1284,5,1018.1284,54.00321,1072.13161,25.00321,1097.13482,126.40767,1223.54249,Elected
Robin STENHOUSE (C),637,0.10272,637.10272,5,642.10272,16.00321,658.10593,20.00321,678.10914,-678.10914,-,,-,
Hazel FLANAGAN (Lab),573,3.46359,576.46359,3.00321,579.4668,9,588.4668,92.03531,680.50211,319.08346,999.58557,-999.58557,-,
Malcolm Gray SPAVEN (Grn),349,0.06099,349.06099,7,356.06099,14.00321,370.0642,-370.0642,-,,-,,-,
Daniel FRASER (Libtn),58,0.00963,58.00963,5,63.00963,-63.00963,-,,-,,-,,-,
Christopher Ringland HAMPTON (Alba),44,0.00321,44.00321,-44.00321,-,,-,,-,,-,,-,
Non-transferable, ,0.14158,0.14158,10,10.14158,17.00321,27.14479,72.01605,99.16084,313.01284,412.17368,733.7285,1145.90218,
Totals,4954,,4954,,4954,,4954,,4954,,4954,,4954,
 ,,,,,,,,,,,,,,
,,,1238.28614,,,,,,1205.27972,,1048.360195,,,
,,,193.19626,,,,,,20.1834200000003,,-157.745735,,,
