Election for,Moray 2022 - Ward 1 - Speyside Glenlivet,,,,,
Date,09 Jul 2025,,,,,
Number to be elected,3,,,,,
Valid votes,3337,,,,,
Invalid votes,0,,,,,
Quota,835,,,,,
OpenSTV,1.7,,,,,
Election rules,Scottish STV,,,,,
 ,,Stage,2,Stage,3,
 ,First,Surplus of,,Surplus of,,
Candidates,Preferences,Juli HARRIS (SNP),,David GORDON (C),,
Juli HARRIS (SNP),1227,-392,835,,835,Elected
David GORDON (C),1129,,1129,-294,835,Elected
Derek ROSS (Ind),672,78.27015,750.27015,147.3864,897.65655,Elected
Elidh Myrvang BROWN (Grn),286,205.73868,491.73868,27.8628,519.60148,
David Philip MCHUTCHON (Sov),23,7.66728,30.66728,19.7904,50.45768,
Non-transferable, ,100.32389,100.32389,98.9604,199.28429,
Totals,3337,,3337,,3337,
 ,,,,,,
,,,783.338055,,733.857855,
,,,33.067905,,-163.798695,
