Election for,Moray 2022 - Ward 4 - Fochabers Lhanbryde,,,,,,,,,
Date,09 Jul 2025,,,,,,,,,
Number to be elected,3,,,,,,,,,
Valid votes,3996,,,,,,,,,
Invalid votes,0,,,,,,,,,
Quota,1000,,,,,,,,,
OpenSTV,1.7,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,
 ,First,Surplus of,,Exclusion of,,Surplus of,,Exclusion of,,
Candidates,Preferences,Marc MACRAE (C),,Donald John Craig CAMERON (LD),,Shona MORRISON (SNP),,Dave BREMNER (SNP),,
Marc MACRAE (C),1590,-590,1000,,1000,,1000,,1000,Elected
Shona MORRISON (SNP),940,19.29512,959.29512,46.08166,1005.37678,-5.37678,1000,,1000,Elected
Dave BREMNER (SNP),778,13.72922,791.72922,20.08166,811.81088,4.56258,816.37346,-816.37346,-,
Ben WILLIAMS (Lab),404,130.61312,534.61312,295.88962,830.50274,0.34356,830.8463,347.36624,1178.21254,Elected
Donald John Craig CAMERON (LD),284,212.24632,496.24632,-496.24632,-,,-,,-,
Non-transferable, ,214.11622,214.11622,134.19338,348.3096,0.47064,348.78024,469.00722,817.78746,
Totals,3996,,3996,,3996,,3996,,3996,
 ,,,,,,,,,,
,,,911.29433,,823.8452,,,,,
,,,-48.0007899999999,,-181.53158,,,,,
