Election for,Moray 2022 - Ward 8 - Forres,,,,,,,,,,,
Date,09 Jul 2025,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,
Valid votes,6057,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,
Quota,1212,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,
 ,First,Surplus of,,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Scott LAWRENCE (SNP),,Kathleen ROBERTSON (C),,Paul MCBAIN (C),,Shaun MOAT (Ind),,James HYNAM (Lab),,
Scott LAWRENCE (SNP),2077,-865,1212,,1212,,1212,,1212,,1212,Elected
Kathleen ROBERTSON (C),1516,,1516,-304,1212,,1212,,1212,,1212,Elected
Paul MCBAIN (C),962,29.1522,991.1522,248.6448,1239.797,-27.797,1212,,1212,,1212,Elected
James HYNAM (Lab),643,186.99054,829.99054,14.63796,844.6285,7.13652,851.76502,149.66227,1001.42729,-1001.42729,-,
Draeyk VAN DER HORN (Grn),550,377.72922,927.72922,4.81248,932.5417,1.4246,933.9663,113.5254,1047.4917,466.01339,1513.50509,Elected
Shaun MOAT (Ind),309,94.11996,403.11996,13.63536,416.75532,7.09548,423.8508,-423.8508,-,,-,
Non-transferable, ,177.00808,177.00808,22.2694,199.27748,12.1404,211.41788,160.66313,372.08101,535.4139,907.49491,
Totals,6057,,6057,,6057,,6057,,6057,,6057,
 ,,,,,,,,,,,,
,,,,,1110.86126,,1104.79106,,1024.459495,,,
,,,,,178.31956,,170.82476,,-23.032205,,,
