Election for,North Ayrshire 2022 - Ward 06 - Kilwinning,,,,,,,,,,,
Date,13 Apr 2025,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,
Valid votes,5553,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,
Quota,1111,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,
 ,First,Surplus of,,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Joe CULLINANE (Lab),,Donald REID (Lab),,Scott DAVIDSON (SNP),,Ruby KIRKWOOD (LD),,Sheila GIBSON (SNP),,
Joe CULLINANE (Lab),1714,-603,1111,,1111,,1111,,1111,,1111,Elected
Scott DAVIDSON (SNP),1225,,1225,,1225,-114,1111,,1111,,1111,Elected
John GLOVER (C),867,37.9944,904.9944,31.9009,936.8953,0.4653,937.3606,92.55857,1029.91917,265.47703,1295.3962,Elected
Donald REID (Lab),842,455.2292,1297.2292,-186.2292,1111,,1111,,1111,,1111,Elected
Sheila GIBSON (SNP),714,36.2354,750.2354,30.61455,780.84995,105.25086,886.10081,58.08736,944.18817,-944.18817,-,
Ruby KIRKWOOD (LD),191,35.8836,226.8836,49.46875,276.35235,1.76814,278.12049,-278.12049,-,,-,
Non-transferable, ,37.6574,37.6574,74.245,111.9024,6.5157,118.4181,127.47456,245.89266,678.71114,924.6038,
Totals,5553,,5553,,5553,,5553,,5553,,5553,
 ,,,,,,,,,,,,
,,,,,,,1050.79095,,987.05367,,,
,,,,,,,113.43035,,-42.8655000000001,,,
