Election for,North Ayrshire 2022 - Ward 07 - Irvine West,,,,,,,,,,,,,,,,,,,
Date,13 Apr 2025,,,,,,,,,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,,,,,,,,,
Valid votes,4666,,,,,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,,,,,
Quota,934,,,,,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,Stage,9,Stage,10,
 ,First,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Surplus of,,Exclusion of,,
Candidates,Preferences,Shaun MACAULAY (SNP),,Scott GALLACHER (C),,Colin TURBETT (SSP),,Tristan LINDSAY (Ind),,Lewis Dominic HUTTON (LD),,Bobby COCHRANE (SocLab),,Kevin T BLADES (Ind),,Chloe ROBERTSON (SNP),,Sylvia MALLINSON (Lab),,
Shaun MACAULAY (SNP),1274,-340,934,,934,,934,,934,,934,,934,,934,,934,,934,Elected
Scott GALLACHER (C),932,2.6687,934.6687,-0.6687,934,,934,,934,,934,,934,,934,,934,,934,Elected
Louise MCPHATER (Lab),729,9.07358,738.07358,0.06674,738.14032,8.00071,746.14103,2.00142,748.14245,9.27752,757.41997,35.53729,792.95726,21.54226,814.49952,2.20095,816.70047,656.22495,1472.92542,Elected
Sylvia MALLINSON (Lab),660,14.67785,674.67785,0.11857,674.79642,2.00284,676.79926,2.00284,678.8021,18.28746,697.08956,61.54671,758.63627,29.8212,788.45747,2.4861,790.94357,-790.94357,-,
Chloe ROBERTSON (SNP),623,271.67366,894.67366,0.01212,894.68578,11.26687,905.95265,0.53374,906.48639,3.06819,909.55458,12.86809,922.42267,25.67083,948.0935,-14.0935,934,,934,Elected
Bobby COCHRANE (SocLab),150,5.3374,155.3374,0.03621,155.37361,13.26971,168.64332,4.26971,172.91303,8.33899,181.25202,-181.25202,-,,-,,-,,-,
Kevin T BLADES (Ind),133,3.46931,136.46931,0.0577,136.52701,3.26971,139.79672,26.08665,165.88337,18.54794,184.43131,28.40983,212.84114,-212.84114,-,,-,,-,
Lewis Dominic HUTTON (LD),72,3.46931,75.46931,0.087,75.55631,1.269,76.82531,4.53871,81.36402,-81.36402,-,,-,,-,,-,,-,
Tristan LINDSAY (Ind),47,2.40183,49.40183,0.03905,49.44088,4.00071,53.44159,-53.44159,-,,-,,-,,-,,-,,-,
Colin TURBETT (SSP),46,1.60122,47.60122,0.01439,47.61561,-47.61561,-,,-,,-,,-,,-,,-,,-,
Non-transferable, ,25.62714,25.62714,0.23692,25.86406,4.53606,30.40012,14.00852,44.40864,23.84392,68.25256,42.8901,111.14266,135.80685,246.94951,9.40645,256.35596,134.71862,391.07458,
Totals,4666,,4666,,4666,,4666,,4666,,4666,,4666,,4666,,4666,,4666,
 ,,,,,,,,,,,,,,,,,,,,
,,,924.124286666667,,,,922.533293333333,,917.863786666667,,909.915813333333,,882.217335,,808.525245,,,,,
,,,29.4506266666667,,,,16.5806433333333,,11.3773966666668,,0.361233333333416,,-40.2053350000002,,-5.97427500000015,,,,,
