Election for,North Ayrshire 2022 - Ward 04 - Arran,,,,,,,,,,,
Date,13 Apr 2025,,,,,,,,,,,
Number to be elected,1,,,,,,,,,,,
Valid votes,2431,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,
Quota,1216,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,
 ,First,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Ellen MCMASTER (Ind),,Aaran MCDONALD (Lab),,Ronna PARK (Grn),,Tom YOUNG (Ind),,Steve GARRAWAY (SNP),,
Timothy BILLINGS (C),788,32,820,52,872,19,891,147,1038,297,1335,Elected
Steve GARRAWAY (SNP),625,37,662,27,689,136,825,126,951,-951,-,
Tom YOUNG (Ind),305,70,375,61,436,83,519,-519,-,,-,
Aaran MCDONALD (Lab),243,17,260,-260,-,,-,,-,,-,
Ronna PARK (Grn),241,31,272,49,321,-321,-,,-,,-,
Ellen MCMASTER (Ind),229,-229,-,,-,,-,,-,,-,
Non-transferable,,42,42,71,113,83,196,246,442,654,1096,
Totals,2431,,2431,,2431,,2431,,2431,,2431,
 ,,,,,,,,,,,,
,1215.5,,1194.5,,1159,,1117.5,,994.5,,,
,427.5,,374.5,,287,,226.5,,-43.5,,,
