Election for,North Ayrshire 2022 - Ward 05 - Saltcoats and Stevenston,,,,,,,,,,,,,,,
Date,13 Apr 2025,,,,,,,,,,,,,,,
Number to be elected,5,,,,,,,,,,,,,,,
Valid votes,6506,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,
Quota,1085,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,
 ,First,Surplus of,,Surplus of,,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Jean MCCLUNG (SNP),,Jim MONTGOMERIE (Lab),,Davina MCTIERNAN (SNP),,John SWEENEY (Lab),,Jimmy MILLER (Ind),,David HIGGINS (IndScot),,Ronnie MCNICOL (Ind),,
Jean MCCLUNG (SNP),1908,-823,1085,,1085,,1085,,1085,,1085,,1085,,1085,Elected
Jim MONTGOMERIE (Lab),1822,,1822,-737,1085,,1085,,1085,,1085,,1085,,1085,Elected
John SWEENEY (Lab),796,15.52824,811.52824,538.794,1350.32224,,1350.32224,-265.32224,1085,,1085,,1085,,1085,Elected
Cameron INGLIS (C),742,3.45072,745.45072,27.1015,772.55222,3.66429,776.21651,38.16782,814.38433,14.19089,828.57522,28.5877,857.16292,246.02137,1103.18429,Elected
Davina MCTIERNAN (SNP),666,736.29738,1402.29738,,1402.29738,-317.29738,1085,,1085,,1085,,1085,,1085,Elected
Ronnie MCNICOL (Ind),366,28.0371,394.0371,54.203,448.2401,38.08002,486.32012,40.89709,527.21721,78.14548,605.36269,96.69014,702.05283,-702.05283,-,
David HIGGINS (IndScot),111,9.92082,120.92082,6.8765,127.79732,78.57804,206.37536,13.59777,219.97313,15.64133,235.61446,-235.61446,-,,-,
Jimmy MILLER (Ind),95,2.58804,97.58804,21.843,119.43104,21.33804,140.76908,41.37977,182.14885,-182.14885,-,,-,,-,
Non-transferable, ,27.1777,27.1777,88.182,115.3597,175.63699,290.99669,131.27979,422.27648,74.17115,496.44763,110.33662,606.78425,456.03146,1062.81571,
Totals,6506,,6506,,6506,,6506,,6506,,6506,,6506,,6506,
 ,,,,,,,,,,,,,,,,
,,,,,,,,,871.86176,,834.776185,,779.607875,,,
,,,,,,,,,57.47743,,6.200965,,-77.5550450000001,,,
