Election for,North Ayrshire 2022 - Ward 09 - Irvine South,,,,,,,,,,,,,
Date,13 Apr 2025,,,,,,,,,,,,,
Number to be elected,3,,,,,,,,,,,,,
Valid votes,3356,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,
Quota,840,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,
 ,First,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Surplus of,,Exclusion of,,
Candidates,Preferences,Christina LARSEN (SNP),,Ian KERR (TUSC),,Robert John CRAIG (ScFam),,David O'NEILL (Lab),,Robert FOSTER (Lab),,Joseph HOPKINS (SNP),,
Christina LARSEN (SNP),871,-31,840,,840,,840,,840,,840,,840,Elected
Robert FOSTER (Lab),761,0.88975,761.88975,4,765.88975,18,783.88975,264.49826,1048.38801,-208.38801,840,,840,Elected
Matthew MCLEAN (C),651,0.14236,651.14236,5,656.14236,25,681.14236,30.03559,711.17795,48.11406,759.29201,129.90541,889.19742,Elected
Joseph HOPKINS (SNP),625,27.08399,652.08399,8.10677,660.19076,9.24913,669.43989,22.24913,691.68902,36.54276,728.23178,-728.23178,-,
David O'NEILL (Lab),327,0.85416,327.85416,9.03559,336.88975,19.03559,355.92534,-355.92534,-,,-,,-,
Robert John CRAIG (ScFam),81,0.28472,81.28472,6,87.28472,-87.28472,-,,-,,-,,-,
Ian KERR (TUSC),40,0.14236,40.14236,-40.14236,-,,-,,-,,-,,-,
Non-transferable, ,1.60266,1.60266,8,9.60266,16,25.60266,39.14236,64.74502,123.73119,188.47621,598.32637,786.80258,
Totals,3356,,3356,,3356,,3356,,3356,,3356,,3356,
 ,,,,,,,,,,,,,,
,,,838.132446666667,,,,830.132446666667,,805.62749,,743.761895,,,
,,,76.2426966666666,,,,46.2426966666666,,94.4495400000001,,-15.5301149999999,,,
