"Election for","North Lanarkshire 2022 - Ward 2 - Cumbernauld North"
"Date","10 Aug 2024"
"Number to be elected",4
"Valid votes",7075
"Invalid votes",0
"Quota",1416.00000
"OpenSTV","1.7"
"Election rules","Scottish STV"
 ,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
 ,"First","Surplus of",,"Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
 "Candidates","Preferences","Alan MASTERTON (SNP)",,"Danish ASHRAF (SNP)",,"Tom FISHER (Lab)",,"John Patrick MCGRORY (ScFam)",,"John COLE (LD)",,"Anne MCCROSSAN (Grn)",,"Donna KIDDIE (Lab)",
 "Danish ASHRAF (SNP)",1399,+597.05514,1996.05514,-580.05514,1416.00000,,1416.00000,,1416.00000,,1416.00000,,1416.00000,,1416.00000,"Elected"
 "John COLE (LD)",180,+9.96237,189.96237,+28.41045,218.37282,+0.31920,218.69202,+6.56839,225.26041,-225.26041,"-",,"-",,"-",
 "Gordon CURRIE (C)",1003,+7.90119,1010.90119,+9.55220,1020.45339,+0.63840,1021.09179,+14.00840,1035.10019,+48.98560,1084.08579,+32.65857,1116.74436,+308.19047,1424.93483,"Elected"
 "Tom FISHER (Lab)",1428,,1428.00000,,1428.00000,-12.00000,1416.00000,,1416.00000,,1416.00000,,1416.00000,,1416.00000,"Elected"
 "Donna KIDDIE (Lab)",534,+22.32945,556.32945,+79.16635,635.49580,+10.07160,645.56740,+18.87515,664.44255,+54.76207,719.20462,+217.15566,936.36028,-936.36028,"-",
 "Alan MASTERTON (SNP)",2157,-741.00000,1416.00000,,1416.00000,,1416.00000,,1416.00000,,1416.00000,,1416.00000,,1416.00000,"Elected"
 "Anne MCCROSSAN (Grn)",290,+58.74363,348.74363,+237.35346,586.09709,+0.16800,586.26509,+17.40775,603.67284,+53.21903,656.89187,-656.89187,"-",,"-",
 "John Patrick MCGRORY (ScFam)",84,+5.84001,89.84001,+11.24931,101.08932,+0.07560,101.16492,-101.16492,"-",,"-",,"-",,"-",
 "Non-transferable", ,+39.16821,39.16821,+214.32337,253.49158,+0.72720,254.21878,+44.30523,298.52401,+68.29371,366.81772,+407.07764,773.89536,+628.16981,1402.06517,
 "Totals",7075,,7075.00000,,7075.00000,,7075.00000,,7075.00000,,7075.00000,,7075.00000,,7075.00000
 
