"Election for","North Lanarkshire 2022 - Ward 3 - Cumbernauld South"
"Date","10 Aug 2024"
"Number to be elected",4
"Valid votes",5713
"Invalid votes",0
"Quota",1143.00000
"OpenSTV","1.7"
"Election rules","Scottish STV"
 ,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
 ,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
 "Candidates","Preferences","James MCPHILEMY (Lab)",,"Simona PANAITESCU (FdmAll)",,"Norma Mclachlan DIFFIN (ScFam)",,"Willie HOMER (SSP)",,"Rebecca MACPHEE (C)",,"Peter MCDADE (Lab)",,"Cathie JOHNSTON (SNP)",
 "Ann BALLINGER (SNP)",1089,+3.36240,1092.36240,,1092.36240,+4.00000,1096.36240,+26.16812,1122.53052,+5.00000,1127.53052,+0.86624,1128.39676,+554.50057,1682.89733,"Elected"
 "Norma Mclachlan DIFFIN (ScFam)",77,+0.84060,77.84060,+14.16812,92.00872,-92.00872,"-",,"-",,"-",,"-",,"-",
 "William GOLDIE (SNP)",959,+4.03488,963.03488,+1.00000,964.03488,+2.00000,966.03488,+29.16812,995.20300,+10.16812,1005.37112,+0.64345,1006.01457,+354.87409,1360.88866,"Elected"
 "Willie HOMER (SSP)",154,+1.68120,155.68120,+9.00000,164.68120,+12.16812,176.84932,-176.84932,"-",,"-",,"-",,"-",
 "Cathie JOHNSTON (SNP)",910,+4.37112,914.37112,+2.00000,916.37112,+4.16812,920.53924,+23.16812,943.70736,+12.33624,956.04360,+0.88246,956.92606,-956.92606,"-",
 "Rebecca MACPHEE (C)",453,+4.37112,457.37112,+3.00000,460.37112,+21.00000,481.37112,+15.33624,496.70736,-496.70736,"-",,"-",,"-",
 "Peter MCDADE (Lab)",656,+200.90340,856.90340,+5.50436,862.40776,+19.33624,881.74400,+40.84060,922.58460,+231.52180,1154.10640,-11.10640,1143.00000,,1143.00000,"Elected"
 "James MCPHILEMY (Lab)",1374,-231.00000,1143.00000,,1143.00000,,1143.00000,,1143.00000,,1143.00000,,1143.00000,,1143.00000,"Elected"
 "Simona PANAITESCU (FdmAll)",41,+1.00872,42.00872,-42.00872,"-",,"-",,"-",,"-",,"-",,"-",
 "Non-transferable", ,+10.42656,10.42656,+7.33624,17.76280,+29.33624,47.09904,+42.16812,89.26716,+237.68120,326.94836,+8.71425,335.66261,+47.55140,383.21401,
 "Totals",5713,,5713.00000,,5713.00000,,5713.00000,,5713.00000,,5713.00000,,5713.00000,,5713.00000
 
