Election for,North Lanarkshire 2022 - Ward 4 - Cumbernauld East,,,,,,,,,,,,,
Date,10 Aug 2024,,,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,,,
Valid votes,5355,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,
Quota,1072,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,
 ,First,Surplus of,,Surplus of,,Exclusion of,,Surplus of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Claire BARCLAY (SNP),,Tom JOHNSTON (SNP),,Susan TAYLOR (Lab),,Barry MCCULLOCH (Lab),,Kyle DAVIDSON (Grn),,Paddy HOGG (Ind),,
Claire BARCLAY (SNP),1704,-632,1072,,1072,,1072,,1072,,1072,,1072,Elected
Barry MCCULLOCH (Lab),1022,14.09382,1036.09382,9.39587,1045.48969,171.28153,1216.77122,-144.77122,1072,,1072,,1072,Elected
Tom JOHNSTON (SNP),970,417.99303,1387.99303,-315.99303,1072,,1072,,1072,,1072,,1072,Elected
David MACPHEE (C),469,1.85445,470.85445,2.2178,473.07225,5.59855,478.6708,24.19503,502.86583,19.41694,522.28277,70.69986,592.98263,
Adam SMITH (SNP),460,111.63789,571.63789,267.1671,838.80499,7.62186,846.42685,13.82821,860.25506,140.20945,1000.46451,89.22939,1089.6939,Elected
Paddy HOGG (Ind),283,16.69005,299.69005,4.70698,304.39703,8.59855,312.99558,26.60151,339.59709,44.80054,384.39763,-384.39763,-,
Kyle DAVIDSON (Grn),225,41.16879,266.16879,11.5217,277.69049,11.96944,289.65993,17.66081,307.32074,-307.32074,-,,-,
Susan TAYLOR (Lab),222,5.93424,227.93424,4.40243,232.33667,-232.33667,-,,-,,-,,-,
Non-transferable, ,22.62773,22.62773,16.58115,39.20888,27.26674,66.47562,62.48566,128.96128,102.89381,231.85509,224.46838,456.32347,
Totals,5355,,5355,,5355,,5355,,5355,,5355,,5355,
 ,,,,,,,,,,,,,,
