"Election for","North Lanarkshire 2022 - Ward 7 - Coatbridge North"
"Date","10 Aug 2024"
"Number to be elected",4
"Valid votes",4956
"Invalid votes",0
"Quota",992.00000
"OpenSTV","1.7"
"Election rules","Scottish STV"
 ,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9
 ,"First","Surplus of",,"Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
 "Candidates","Preferences","Kirsten LARSON (SNP)",,"Allan STUBBS (SNP)",,"Alexander MCVEY (Lab)",,"Leo Francis LANAHAN (ScFam)",,"Mark SHIELDS (Alba)",,"Jeff MCDONALD (SDP)",,"Julie Patricia MCANULTY (IndScot)",,"Craig WHITESIDE (C)",
 "Leo Francis LANAHAN (ScFam)",79,+5.72672,84.72672,+5.57745,90.30417,+0.29496,90.59913,-90.59913,"-",,"-",,"-",,"-",,"-",
 "Kirsten LARSON (SNP)",1545,-553.00000,992.00000,,992.00000,,992.00000,,992.00000,,992.00000,,992.00000,,992.00000,,992.00000,"Elected"
 "Julie Patricia MCANULTY (IndScot)",129,+17.89600,146.89600,+33.36036,180.25636,+0.31954,180.57590,+27.74032,208.31622,+62.90964,271.22586,+14.34323,285.56909,-285.56909,"-",,"-",
 "Jeff MCDONALD (SDP)",172,+7.15840,179.15840,+3.49917,182.65757,+0.27038,182.92795,+8.74559,191.67354,+10.75819,202.43173,-202.43173,"-",,"-",,"-",
 "Alexander MCVEY (Lab)",1017,,1017.00000,,1017.00000,-25.00000,992.00000,,992.00000,,992.00000,,992.00000,,992.00000,,992.00000,"Elected"
 "Bill SHIELDS (Lab)",663,+27.91776,690.91776,+35.35929,726.27705,+21.18796,747.46501,+14.71314,762.17815,+22.96011,785.13826,+46.42263,831.56089,+102.31251,933.87340,+254.19125,1188.06465,"Elected"
 "Mark SHIELDS (Alba)",123,+12.52720,135.52720,+27.05346,162.58066,+0.14748,162.72814,+6.67605,169.40419,-169.40419,"-",,"-",,"-",,"-",
 "Allan STUBBS (SNP)",749,+447.75792,1196.75792,-204.75792,992.00000,,992.00000,,992.00000,,992.00000,,992.00000,,992.00000,,992.00000,"Elected"
 "Craig WHITESIDE (C)",479,+2.50544,481.50544,+2.39703,483.90247,+0.44244,484.34491,+6.04916,490.39407,+6.31813,496.71220,+49.31813,546.03033,+16.20254,562.23287,-562.23287,"-",
 "Non-transferable", ,+31.51056,31.51056,+97.51116,129.02172,+2.33724,131.35896,+26.67487,158.03383,+66.45812,224.49195,+92.34774,316.83969,+167.05404,483.89373,+308.04162,791.93535,
 "Totals",4956,,4956.00000,,4956.00000,,4956.00000,,4956.00000,,4956.00000,,4956.00000,,4956.00000,,4956.00000
 
