"Election for","North Lanarkshire 2022 - Ward 15 - Bellshill"
"Date","10 Aug 2024"
"Number to be elected",4
"Valid votes",4631
"Invalid votes",0
"Quota",927.00000
"OpenSTV","1.7"
"Election rules","Scottish STV"
 ,,"Stage",2,"Stage",3,"Stage",4,"Stage",5
 ,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",
 "Candidates","Preferences","Jordan James LINDEN (SNP)",,"Angela CAMPBELL (Lab)",,"David BAIRD (Alba)",,"John DEVLIN (Ind)",
 "David BAIRD (Alba)",104,+4.59072,108.59072,+1.82007,110.41079,-110.41079,"-",,"-",
 "Colin CAMERON (C)",632,+3.44304,635.44304,+17.79624,653.23928,+10.20223,663.44151,+25.82007,689.26158,
 "Angela CAMPBELL (Lab)",1162,,1162.00000,-235.00000,927.00000,,927.00000,,927.00000,"Elected"
 "John DEVLIN (Ind)",209,+10.90296,219.90296,+11.93157,231.83453,+32.40446,264.23899,-264.23899,"-",
 "Jordan James LINDEN (SNP)",1300,-373.00000,927.00000,,927.00000,,927.00000,,927.00000,"Elected"
 "Pat PATTON (Lab)",635,+22.09284,657.09284,+172.09773,829.19057,+16.18053,845.37110,+89.19288,934.56398,"Elected"
 "Lisa STUBBS (SNP)",589,+298.68372,887.68372,+5.25798,892.94170,+26.29536,919.23706,+58.94063,978.17769,"Elected"
 "Non-transferable", ,+33.28672,33.28672,+26.09641,59.38313,+25.32821,84.71134,+90.28541,174.99675,
 "Totals",4631,,4631.00000,,4631.00000,,4631.00000,,4631.00000
 
