Election for,Orkney 2022 - Ward 3 - Stromness and South Isles,,,,,,,,,,,
Date,06 Aug 2025,,,,,,,,,,,
Number to be elected,3,,,,,,,,,,,
Valid votes,1150,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,
Quota,288,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,
 ,First,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,James STOCKAN (Ind),,Graham BEVAN (Ind),,Magnus THOMSON (Ind),,Maia BRODIE (Grn),,Rob CRICHTON (Ind),,
James STOCKAN (Ind),353,-65,288,,288,,288,,288,,288,Elected
Graham BEVAN (Ind),281,24.48929,305.48929,-17.48929,288,,288,,288,,288,Elected
Lindsay HALL (Ind),175,5.33977,180.33977,2.47972,182.81949,22.21642,205.03591,57.14597,262.18188,92.64269,354.82457,Elected
Maia BRODIE (Grn),157,3.49847,160.49847,1.63007,162.12854,7.21928,169.34782,-169.34782,-,,-,
Rob CRICHTON (Ind),115,20.80669,135.80669,8.52835,144.33504,29.89201,174.22705,46.65165,220.8787,-220.8787,-,
Magnus THOMSON (Ind),69,6.62868,75.62868,2.24162,77.8703,-77.8703,-,,-,,-,
Non-transferable, ,4.2371,4.2371,2.60953,6.84663,18.54259,25.38922,65.5502,90.93942,128.23601,219.17543,
Totals,1150,,1150,,1150,,1150,,1150,,1150,
 ,,,,,,,,,,,,
,,,,,283.576685,,274.30539,,241.53029,,,
,,,,,100.757195,,69.26948,,-20.6515899999999,,,
