Election for,"Orkney 2022 - Ward 5 - East Mainland, South Ronaldsay and Burray",,,,,,,,,
Date,06 Aug 2025,,,,,,,,,
Number to be elected,3,,,,,,,,,
Valid votes,1344,,,,,,,,,
Invalid votes,0,,,,,,,,,
Quota,337,,,,,,,,,
OpenSTV,1.7,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,
 ,First,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Raymie PEACE (Ind),,Gillian SKUSE (Ind),,Julie RICKARDS (Ind),,Eric PAGE (Grn),,
Raymie PEACE (Ind),642,-305,337,,337,,337,,337,Elected
Gillian SKUSE (Ind),278,102.61512,380.61512,-43.61512,337,,337,,337,Elected
Eric PAGE (Grn),195,21.37815,216.37815,7.21057,223.58872,28.41021,251.99893,-251.99893,-,
Julie RICKARDS (Ind),118,47.507,165.507,19.56622,185.07322,-185.07322,-,,-,
James MOAR (Ind),111,94.53893,205.53893,8.78331,214.32224,70.01283,284.33507,93.90172,378.23679,Elected
Non-transferable, ,38.9608,38.9608,8.05502,47.01582,86.65018,133.666,158.09721,291.76321,
Totals,1344,,1344,,1344,,1344,,1344,
 ,,,,,,,,,,
,,,,,311.49209,,268.167,,,
,,,,,87.90337,,-16.1680699999999,,,
