Election for,Orkney 2022 - Ward 6 - North Isles,,,
Date,06 Aug 2025,,,
Number to be elected,3,,,
Valid votes,1029,,,
Invalid votes,0,,,
Quota,258,,,
OpenSTV,1.7,,,
Election rules,Scottish STV,,,
 ,,Stage,2,
 ,First,Surplus of,,
Candidates,Preferences,Heather WOODBRIDGE (Ind),,
Heather WOODBRIDGE (Ind),443,-185,258,Elected
Stephen CLACKSON (Ind),256,58.8816,314.8816,Elected
Mellissa THOMSON (Ind),204,64.3104,268.3104,Elected
Paul RENDALL (Ind),76,37.584,113.584,
Sebastian HADFIELD-HYDE (Ind),50,5.4288,55.4288,
Non-transferable, ,18.7952,18.7952,
Totals,1029,,1029,
 ,,,,
