Election for,Perth and Kinross 2022 - Ward 2 - Strathmore,,,,,,,,,,,
Date,17 Aug 2024,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,
Valid votes,6764,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,
Quota,1353,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,
 ,First,Surplus of,,Exclusion of,,Exclusion of,,Surplus of,,Exclusion of,,
Candidates,Preferences,Grant STEWART (SNP),,Jill BELCH (Grn),,Violet IWANIO (LD),,Colin STEWART (Ind),,Dennis MELLOY (C),,
Grant STEWART (SNP),1780,-427,1353,,1353,,1353,,1353,,1353,Elected
Colin STEWART (Ind),1174,8.87556,1182.87556,86.15892,1269.03448,316.71964,1585.75412,-232.75412,1353,,1353,Elected
Hugh ANDERSON (C),1032,0.95952,1032.95952,20,1052.95952,89.23988,1142.1994,41.05443,1183.25383,955.33867,2138.5925,Elected
Dennis MELLOY (C),1009,2.3988,1011.3988,16.23988,1027.63868,80,1107.63868,46.15618,1153.79486,-1153.79486,-,
Jack WELCH (SNP),671,386.44668,1057.44668,176.83508,1234.28176,75.91904,1310.2008,41.85806,1352.05886,28.90273,1380.96159,Elected
Violet IWANIO (LD),598,2.87856,600.87856,155.43928,756.31784,-756.31784,-,,-,,-,
Jill BELCH (Grn),500,14.15292,514.15292,-514.15292,-,,-,,-,,-,
Non-transferable, ,11.28796,11.28796,59.47976,70.76772,194.43928,265.207,103.68545,368.89245,169.55346,538.44591,
Totals,6764,,6764,,6764,,6764,,6764,,6764,
 ,,,,,,,,,,,,
