Election for,Perth and Kinross 2022 - Ward 3 - Blairgowrie and Glens,,,,,,,,,,,,,,,,,
Date,17 Aug 2024,,,,,,,,,,,,,,,,,
Number to be elected,3,,,,,,,,,,,,,,,,,
Valid votes,4662,,,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,,,
Quota,1166,,,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,Stage,9,
 ,First,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Surplus of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Caroline SHIERS (C),,Jack MURPHY (ScFam),,Bernard NOONAN (Ind),,Gordon Ross CLARK (LD),,Louise RAMSAY (Grn),,Tom MCEWAN (SNP),,Pauline HUNTER (Lab),,Harry MACFADYEN (SNP),,
Caroline SHIERS (C),1202,-36,1166,,1166,,1166,,1166,,1166,,1166,,1166,,1166,Elected
Tom MCEWAN (SNP),1101,1.04825,1102.04825,3,1105.04825,6.02995,1111.0782,8.0599,1119.1381,75.0599,1194.198,-28.198,1166,,1166,,1166,Elected
Bob BRAWN (C),918,31.23785,949.23785,12.1198,961.35765,13.08985,974.4475,34.38935,1008.83685,15.0599,1023.89675,0.64307,1024.53982,65.15045,1089.69027,154.8114,1244.50167,Elected
Harry MACFADYEN (SNP),776,0.32945,776.32945,2,778.32945,2,780.32945,5.02995,785.3594,26.02995,811.38935,24.3267,835.71605,53.30693,889.02298,-889.02298,-,
Pauline HUNTER (Lab),232,0.4193,232.4193,2,234.4193,7,241.4193,59.2396,300.6589,41.02995,341.68885,0.87707,342.56592,-342.56592,-,,-,
Louise RAMSAY (Grn),169,0.32945,169.32945,6,175.32945,12.0599,187.38935,27.08985,214.4792,-214.4792,-,,-,,-,,-,
Gordon Ross CLARK (LD),163,1.0183,164.0183,4,168.0183,10,178.0183,-178.0183,-,,-,,-,,-,,-,
Bernard NOONAN (Ind),64,0.26955,64.26955,1,65.26955,-65.26955,-,,-,,-,,-,,-,,-,
Jack MURPHY (ScFam),37,0.1797,37.1797,-37.1797,-,,-,,-,,-,,-,,-,,-,
Non-transferable, ,1.16815,1.16815,7.0599,8.22805,15.08985,23.3179,44.20965,67.52755,57.2995,124.82705,2.35116,127.17821,224.10854,351.28675,734.21158,1085.49833,
Totals,4662,,4662,,4662,,4662,,4662,,4662,,4662,,4662,,4662,
 ,,,,,,,,,,,,,,,,,,
