Election for,Perth and Kinross 2022 - Ward 4 - Highland,,,,,,,,,,,,,,,
Date,17 Aug 2024,,,,,,,,,,,,,,,
Number to be elected,3,,,,,,,,,,,,,,,
Valid votes,4455,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,
Quota,1114,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,
 ,First,Exclusion of,,Surplus of,,Exclusion of,,Exclusion of,,Surplus of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Barry Blackler MCMAHON (LD),,John DUFF (C),,Paula HUNTER (Lab),,Mary MCDOUGALL (Grn),,Xander MCDADE (Ind),,Rhona METCALFE (C),,Sally Kirsten MURRAY (SNP),,
John DUFF (C),1110,10,1120,-6,1114,,1114,,1114,,1114,,1114,,1114,Elected
Xander MCDADE (Ind),977,32,1009,1.1021,1010.1021,66.04815,1076.15025,72.0107,1148.16095,-34.16095,1114,,1114,,1114,Elected
Michael James WILLIAMSON (SNP),856,1,857,0.1605,857.1605,8,865.1605,43,908.1605,6.7259,914.8864,15.49405,930.38045,810.04265,1740.4231,Elected
Sally Kirsten MURRAY (SNP),807,4,811,0.1498,811.1498,18.00535,829.15515,70.0107,899.16585,5.9213,905.08715,11.89735,916.9845,-916.9845,-,
Rhona METCALFE (C),268,7,275,3.99645,278.99645,4.0321,283.02855,8.02675,291.0553,6.79995,297.85525,-297.85525,-,,-,
Mary MCDOUGALL (Grn),203,9,212,0.10165,212.10165,35.0107,247.11235,-247.11235,-,,-,,-,,-,
Paula HUNTER (Lab),147,19,166,0.17655,166.17655,-166.17655,-,,-,,-,,-,,-,
Barry Blackler MCMAHON (LD),87,-87,-,,-,,-,,-,,-,,-,,-,
Non-transferable, ,5,5,0.31295,5.31295,35.08025,40.3932,54.0642,94.4574,14.7138,109.1712,270.46385,379.63505,106.94185,486.5769,
Totals,4455,,4455,,4455,,4455,,4455,,4455,,4455,,4455,
 ,,,,,,,,,,,,,,,,
