Election for,Perth and Kinross 2022 - Ward 5 - Strathtay,,,,,,,,,
Date,17 Aug 2024,,,,,,,,,
Number to be elected,3,,,,,,,,,
Valid votes,5159,,,,,,,,,
Invalid votes,0,,,,,,,,,
Quota,1290,,,,,,,,,
OpenSTV,1.7,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,
 ,First,Surplus of,,Exclusion of,,Surplus of,,Exclusion of,,
Candidates,Preferences,Grant LAING (SNP),,Anne JARVIS (C),,Ian JAMES (C),,Melanie Jane KINNEY (SNP),,
Grant LAING (SNP),1328,-38,1290,,1290,,1290,,1290,Elected
Melanie Jane KINNEY (SNP),1069,32.18625,1101.18625,6.14305,1107.3293,7.51147,1114.84077,-1114.84077,-,
Ian JAMES (C),972,0.40054,972.40054,726.17166,1698.5722,-408.5722,1290,,1290,Elected
Claire MCLAREN (LD),962,2.91822,964.91822,55.14305,1020.06127,211.1991,1231.26037,589.82553,1821.0859,Elected
Anne JARVIS (C),828,0.54359,828.54359,-828.54359,-,,-,,-,
Non-transferable, ,1.9514,1.9514,41.08583,43.03723,189.86163,232.89886,525.01524,757.9141,
Totals,5159,,5159,,5159,,5159,,5159,
 ,,,,,,,,,,
