Election for,Perth and Kinross 2022 - Ward 6 - Strathearn,,,,,,,
Date,17 Aug 2024,,,,,,,
Number to be elected,3,,,,,,,
Valid votes,4466,,,,,,,
Invalid votes,0,,,,,,,
Quota,1117,,,,,,,
OpenSTV,1.7,,,,,,,
Election rules,Scottish STV,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,
 ,First,Surplus of,,Surplus of,,Exclusion of,,
Candidates,Preferences,Noah KHOGALI (C),,Rhona BROCK (Ind),,Roger CARTWRIGHT (Ind),,
Noah KHOGALI (C),1337,-220,1117,,1117,,1117,Elected
Rhona BROCK (Ind),1224,,1224,-107,1117,,1117,Elected
Stewart DONALDSON (SNP),1082,4.77166,1086.77166,18.18128,1104.95294,32.3191,1137.27204,Elected
David WEST (SNP),391,2.13902,393.13902,3.58381,396.72283,6.10549,402.82832,
Julia Mary BROWN (LD),261,66.47416,327.47416,27.44674,354.9209,97.78712,452.70802,
Roger CARTWRIGHT (Ind),171,66.96778,237.96778,38.19817,276.16595,-276.16595,-,
Non-transferable, ,79.64738,79.64738,19.59,99.23738,139.95424,239.19162,
Totals,4466,,4466,,4466,,4466,
 ,,,,,,,,
