Election for,Perth and Kinross 2022 - Ward 8 - Kinross-shire,,,,,,,,,,,,,
Date,17 Aug 2024,,,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,,,
Valid votes,6432,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,
Quota,1287,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,
 ,First,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Richard WATTERS (SNP),,Willie ROBERTSON (LD),,Gerald O'CONNELL (ScFam),,Graham COX (Lab),,Pat DORAN (Grn),,George STIRLING (C),,
Richard WATTERS (SNP),1658,-371,1287,,1287,,1287,,1287,,1287,,1287,Elected
Willie ROBERTSON (LD),1346,,1346,-59,1287,,1287,,1287,,1287,,1287,Elected
Neil FRESHWATER (C),957,3.3564,960.3564,4.47066,964.82706,7.22376,972.05082,39.1142,1011.16502,17.87313,1029.03815,847.62062,1876.65877,Elected
George STIRLING (C),925,7.38408,932.38408,8.41536,940.79944,8.13149,948.93093,23.34604,972.27697,14.21108,986.48805,-986.48805,-,
Dave CUTHBERT (Ind),725,53.47864,778.47864,21.16989,799.64853,17.16263,816.81116,147.33915,964.15031,287.83047,1251.98078,50.67938,1302.66016,Elected
Graham COX (Lab),438,49.00344,487.00344,9.6426,496.64604,7.53057,504.17661,-504.17661,-,,-,,-,
Pat DORAN (Grn),331,186.8396,517.8396,8.06472,525.90432,6.1015,532.00582,126.80394,658.80976,-658.80976,-,,-,
Gerald O'CONNELL (ScFam),52,6.04152,58.04152,0.61362,58.65514,-58.65514,-,,-,,-,,-,
Non-transferable, ,64.89632,64.89632,6.62315,71.51947,12.50519,84.02466,167.57328,251.59794,338.89508,590.49302,88.18805,678.68107,
Totals,6432,,6432,,6432,,6432,,6432,,6432,,6432,
