Election for,Renfrewshire 2022 - Ward 1 - Renfrew North and Braehead,,,,,,,,,,,,,
Date,10 Apr 2025,,,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,,,
Valid votes,5621,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,
Quota,1125,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,
 ,First,Surplus of,,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Lisa-Marie HUGHES (SNP),,John SHAW (SNP),,Jamie MCGUIRE (Lab),,Peter MORTON (Ind),,Ross STALKER (LD),,Sophia Daphne Rose Dowling SPARKS (Lab),,
Lisa-Marie HUGHES (SNP),1376,-251,1125,,1125,,1125,,1125,,1125,,1125,Elected
John SHAW (SNP),1374,,1374,-249,1125,,1125,,1125,,1125,,1125,Elected
Jamie MCGUIRE (Lab),1371,,1371,,1371,-246,1125,,1125,,1125,,1125,Elected
John GRAY (C),897,6.56676,903.56676,11.05442,914.62118,18.66072,933.2819,7.36065,940.64255,66.53044,1007.17299,298.30014,1305.47313,Elected
Sophia Daphne Rose Dowling SPARKS (Lab),291,60.56012,351.56012,55.2721,406.83222,196.29642,603.12864,27.24694,630.37558,164.6574,795.03298,-795.03298,-,
Ross STALKER (LD),253,36.29959,289.29959,35.88156,325.18115,10.22751,335.40866,22.54173,357.95039,-357.95039,-,,-,
Peter MORTON (Ind),59,13.68075,72.68075,13.41028,86.09103,2.15316,88.24419,-88.24419,-,,-,,-,
Non-transferable, ,133.89278,133.89278,133.38164,267.27442,18.66219,285.93661,31.09487,317.03148,126.76255,443.79403,496.73284,940.52687,
Totals,5621,,5621,,5621,,5621,,5621,,5621,,5621,
 ,,,,,,,,,,,,,,
,,,,,,,980.031695,,964.48426,,901.102985,,,
,,,,,,,46.7497950000002,,23.8417100000002,,-106.070005,,,
