Election for,Renfrewshire 2022 - Ward 6 - Paisley Southeast,,,,,,,,,,,,,,,,,
Date,10 Apr 2025,,,,,,,,,,,,,,,,,
Number to be elected,3,,,,,,,,,,,,,,,,,
Valid votes,4080,,,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,,,
Quota,1021,,,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,Stage,9,
 ,First,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Surplus of,,Exclusion of,,Surplus of,,Exclusion of,,
Candidates,Preferences,Sandra Amelia WEBSTER (SSP),,Allan HERON (LD),,David Richard LAFFAN (Grn),,Stuart Alexander MCAUSLAND (Lab),,Eddie DEVINE (Lab),,Paul MACK (Ind),,Bruce MACFARLANE (SNP),,Jim MCILROY (C),,
Bruce MACFARLANE (SNP),862,,862,9,871,67,938,21,959,8.95832,967.95832,68.6587,1036.61702,-15.61702,1021,,1021,Elected
Eddie DEVINE (Lab),800,5,805,31,836,21,857,236,1093,-72,1021,,1021,,1021,,1021,Elected
Marie MCGURK (SNP),693,7,700,5,705,72,777,22,799,6.25765,805.25765,70.59283,875.85048,12.36024,888.21072,67.89364,956.10436,Elected
Jim MCILROY (C),496,2,498,29,527,4,531,45,576,11.06616,587.06616,115.25153,702.31769,0.12246,702.44015,-702.44015,-,
Paul MACK (Ind),452,7,459,11,470,21,491,35,526,7.83853,533.83853,-533.83853,-,,-,,-,
Stuart Alexander MCAUSLAND (Lab),385,4,389,26,415,14,429,-429,-,,-,,-,,-,,-,
David Richard LAFFAN (Grn),194,14,208,19,227,-227,-,,-,,-,,-,,-,,-,
Allan HERON (LD),154,3,157,-157,-,,-,,-,,-,,-,,-,,-,
Sandra Amelia WEBSTER (SSP),44,-44,-,,-,,-,,-,,-,,-,,-,,-,
Non-transferable,,2,2,27,29,28,57,70,127,37.87934,164.87934,279.33547,444.21481,3.13432,447.34913,634.54651,1081.89564,
Totals,4080,,4080,,4080,,4080,,4080,,4080,,4080,,4080,,4080,
 ,,,,,,,,,,,,,,,,,,
,1020,,1019.5,,,,1005.75,,977.333333333333,,963.08117,,796.892595,,,,,
,158,,157.5,,,,67.75,,-115.666666666667,,-57.91883,,-239.724425,,,,,
