Election for,Renfrewshire 2022 - Ward 7 - Paisley Southwest,,,,,,,,,,,
Date,10 Apr 2025,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,
Valid votes,5264,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,
Quota,1053,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,
 ,First,Surplus of,,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Kevin MONTGOMERY (Lab),,Stephen BURNS (SNP),,Lorraine CAMERON (SNP),,Scott KERR (Ind),,Richard VASSIE (Ind),,
Kevin MONTGOMERY (Lab),1384,-331,1053,,1053,,1053,,1053,,1053,Elected
Stephen BURNS (SNP),1288,,1288,-235,1053,,1053,,1053,,1053,Elected
Lorraine CAMERON (SNP),1120,,1120,,1120,-67,1053,,1053,,1053,Elected
Anne HANNIGAN (LD),754,109.53528,863.53528,57.6542,921.18948,18.36474,939.55422,24.1151,963.66932,92.12977,1055.79909,Elected
Marc SCHMITZ (C),524,43.28796,567.28796,3.10165,570.38961,0.83748,571.22709,15.51124,586.73833,29.58215,616.32048,
Richard VASSIE (Ind),108,26.78592,134.78592,15.14335,149.92927,6.93912,156.86839,69.17107,226.03946,-226.03946,-,
Scott KERR (Ind),86,19.1328,105.1328,30.83405,135.96685,7.11858,143.08543,-143.08543,-,,-,
Non-transferable, ,132.25804,132.25804,128.26675,260.52479,33.74008,294.26487,34.28802,328.55289,104.32754,432.88043,
Totals,5264,,5264,,5264,,5264,,5264,,5264,
 ,,,,,,,,,,,,
,,,,,922.237605,,905.367565,,,,,
,,,,,1.0481249999998,,-34.186655,,,,,
