Election for,Renfrewshire 2022 - Ward 8 - Johnstone South and Elderslie,,,,,,,
Date,10 Apr 2025,,,,,,,
Number to be elected,4,,,,,,,
Valid votes,5563,,,,,,,
Invalid votes,0,,,,,,,
Quota,1113,,,,,,,
OpenSTV,1.7,,,,,,,
Election rules,Scottish STV,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,
 ,First,Surplus of,,Surplus of,,Surplus of,,
Candidates,Preferences,Jacqueline CAMERON (SNP),,John HOOD (Lab),,Iain MCMILLAN (Lab),,
Jacqueline CAMERON (SNP),1613,-500,1113,,1113,,1113,Elected
John HOOD (Lab),1310,,1310,-197,1113,,1113,Elected
Iain MCMILLAN (Lab),1270,,1270,,1270,-157,1113,Elected
Andy STEEL (SNP),634,443.58138,1077.58138,27.51954,1105.10092,24.724,1129.82492,Elected
Brian JACKSON (C),595,4.6497,599.6497,36.54234,636.19204,27.1964,663.38844,
Robert MACINTYRE (LD),141,10.8493,151.8493,38.79804,190.64734,27.07278,217.72012,
Non-transferable, ,40.91962,40.91962,94.14008,135.0597,78.00682,213.06652,
Totals,5563,,5563,,5563,,5563,
 ,,,,,,,,
,,,1091.54019,,1044.47015,,,
,,,13.9588100000001,,-60.63077,,,
