Election for,"Renfrewshire 2022 - Ward 9 - Johnstone North, Kilbarchan, Howwood and Lochwinnoch",,,,,,,,,,,,,,,
Date,10 Apr 2025,,,,,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,,,,,
Valid votes,5821,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,
Quota,1165,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,
 ,First,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Surplus of,,Exclusion of,,
Candidates,Preferences,Andy DOIG (Ind),,Emma RODDEN (SNP),,Andrew JACKSON (LD),,Heather HUDSON (Grn),,Louise REID (C),,Chris GILMOUR (Lab),,Graeme STOCKTON (SNP),,
Andy DOIG (Ind),1416,-251,1165,,1165,,1165,,1165,,1165,,1165,,1165,Elected
Emma RODDEN (SNP),1215,,1215,-50,1165,,1165,,1165,,1165,,1165,,1165,Elected
Chris GILMOUR (Lab),968,49.80725,1017.80725,0.6584,1018.46565,17.65875,1036.1244,20.637,1056.7614,186.03975,1242.80115,-77.80115,1165,,1165,Elected
Gillian GRAHAM (Lab),689,34.3865,723.3865,1.02875,724.41525,24.65875,749.074,39.2287,788.3027,146.5903,934.893,65.31046,1000.20346,264.39791,1264.60137,Elected
Louise REID (C),628,39.704,667.704,0.20575,667.90975,18.65875,686.5685,10.127,696.6955,-696.6955,-,,-,,-,
Graeme STOCKTON (SNP),582,43.07175,625.07175,43.4544,668.52615,4.75015,673.2763,138.0749,811.3512,15.59525,826.94645,1.84183,828.78828,-828.78828,-,
Heather HUDSON (Grn),234,28.36,262.36,2.92165,265.28165,14.87715,280.1588,-280.1588,-,,-,,-,,-,
Andrew JACKSON (LD),89,18.434,107.434,0.1646,107.5986,-107.5986,-,,-,,-,,-,,-,
Non-transferable, ,37.2365,37.2365,1.56645,38.80295,26.99505,65.798,72.0912,137.8892,348.4702,486.3594,10.64886,497.00826,564.39037,1061.39863,
Totals,5821,,5821,,5821,,5821,,5821,,5821,,5821,,5821,
 ,,,,,,,,,,,,,,,,
,,,1151.2545,,1150.73235,,,,1117.7036,,919.8203,,,,,
,,,133.44725,,132.2667,,,,60.9422,,-322.98085,,,,,
