Election for,"Renfrewshire 2022 - Ward 11 - Bishopton, Bridge of Weir and Langbank",,,,,,,,,
Date,10 Apr 2025,,,,,,,,,
Number to be elected,3,,,,,,,,,
Valid votes,6565,,,,,,,,,
Invalid votes,0,,,,,,,,,
Quota,1642,,,,,,,,,
OpenSTV,1.7,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,
 ,First,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Fiona AIRLIE-NICOLSON (SNP),,Colin Alan MCCULLOCH (Lab),,Grant TOGHILL (LD),,Mark DOUGAN (C),,
Fiona AIRLIE-NICOLSON (SNP),2384,-742,1642,,1642,,1642,,1642,Elected
Colin Alan MCCULLOCH (Lab),1534,287.27452,1821.27452,-179.27452,1642,,1642,,1642,Elected
James MACLAREN (C),1353,28.32284,1381.32284,23.64969,1404.97253,168.59351,1573.56604,940.49037,2514.05641,Elected
Mark DOUGAN (C),902,13.38332,915.38332,12.86163,928.24495,101.73017,1029.97512,-1029.97512,-,
Grant TOGHILL (LD),392,187.36648,579.36648,97.59246,676.95894,-676.95894,-,,-,
Non-transferable, ,225.65284,225.65284,45.17074,270.82358,406.63526,677.45884,89.48475,766.94359,
Totals,6565,,6565,,6565,,6565,,6565,
 ,,,,,,,,,,
,,,1527.67358,,1505.08821,,1301.77058,,,
,,,146.35074,,100.11568,,-271.79546,,,
