Election for,Renfrewshire 2022 - Ward 12 - Erskine and Inchinnan,,,
Date,10 Apr 2025,,,
Number to be elected,4,,,
Valid votes,5945,,,
Invalid votes,0,,,
Quota,1190,,,
OpenSTV,1.7,,,
Election rules,Scottish STV,,,
 ,,Stage,2,
 ,First,Surplus of,,
Candidates,Preferences,Sam MULLIN (Lab),,
Sam MULLIN (Lab),1998,-808,1190,Elected
Iain NICOLSON (SNP),1381,,1381,Elected
Michelle CAMPBELL (SNP),1213,,1213,Elected
Alec LEISHMAN (C),1054,182.7888,1236.7888,Elected
Alan JELFS (LD),187,255.5808,442.5808,
Robert IRWIN (ScFam),112,54.9984,166.9984,
Non-transferable, ,314.632,314.632,
Totals,5945,,5945,
 ,,,,
