Election for,South Ayrshire 2022 - Ward 1 - Troon,,,,,,,,,,,,,,,
Date,20 Jun 2025,,,,,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,,,,,
Valid votes,6979,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,
Quota,1396,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,
 ,First,Surplus of,,Exclusion of,,Surplus of,,Exclusion of,,Exclusion of,,Surplus of,,Exclusion of,,
Candidates,Preferences,Craig MACKAY (SNP),,Linda LUNAN (Ind),,Philip SAXTON (Lab),,Judith GODDEN (LD),,Rose HALL (C),,Bob POLLOCK (C),,Annie McINDOE (SNP),,
Craig MACKAY (SNP),1607,-211,1396,,1396,,1396,,1396,,1396,,1396,,1396,Elected
Philip SAXTON (Lab),1342,10.8979,1352.8979,52.5252,1405.4231,-9.4231,1396,,1396,,1396,,1396,,1396,Elected
Bob POLLOCK (C),1131,3.1512,1134.1512,12,1146.1512,1.50696,1147.65816,62.201,1209.85916,254.0804,1463.93956,-67.93956,1396,,1396,Elected
Kenneth BELL (C),1015,1.313,1016.313,13,1029.313,0.469,1029.782,44.31308,1074.09508,201.1273,1275.22238,59.87259,1335.09497,162.2467,1497.34167,Elected
Annie McINDOE (SNP),898,182.507,1080.507,39.9191,1120.4261,1.61816,1122.04426,62.06552,1184.10978,8.4073,1192.51708,1.14781,1193.66489,-1193.66489,-,
Rose HALL (C),459,0.6565,459.6565,7,466.6565,0.23538,466.89188,29.3698,496.26168,-496.26168,-,,-,,-,
Judith GODDEN (LD),329,4.0703,333.0703,40.5252,373.5955,2.56502,376.16052,-376.16052,-,,-,,-,,-,
Linda LUNAN (Ind),198,2.1008,200.1008,-200.1008,-,,-,,-,,-,,-,,-,
Non-transferable, ,6.3033,6.3033,35.1313,41.4346,3.02858,44.46318,178.21112,222.6743,32.64668,255.32098,6.91916,262.24014,1031.41819,1293.65833,
Totals,6979,,6979,,6979,,6979,,6979,,6979,,6979,,6979,
 ,,,,,,,,,,,,,,,,
,,,1394.174175,,1381.85513333333,,1380.84560666667,,1321.4419,,1267.83951,,,,,
,,,41.2762750000002,,-23.5679666666665,,233.187446666667,,111.58274,,-196.10005,,,,,
