Election for,South Ayrshire 2022 - Ward 4 - Ayr East,,,,,,,,,,,,,,,,,
Date,20 Jun 2025,,,,,,,,,,,,,,,,,
Number to be elected,3,,,,,,,,,,,,,,,,,
Valid votes,4936,,,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,,,
Quota,1235,,,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,Stage,9,
 ,First,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Surplus of,,Exclusion of,,
Candidates,Preferences,Chris CULLEN (SNP),,Deirdre KENNEDY (LD),,David John RAMSAY (Ind),,Andrew BRYDEN (Ind),,Chic BRODIE (Ind),,Alan LAMONT (C),,Mary KILPATRICK (C),,Ian DOUGLAS (SNP),,
Chris CULLEN (SNP),1377,-142,1235,,1235,,1235,,1235,,1235,,1235,,1235,,1235,Elected
Mary KILPATRICK (C),959,1.23744,960.23744,20.20624,980.44368,23,1003.44368,21,1024.44368,44.20624,1068.64992,497.20624,1565.85616,-330.85616,1235,,1235,Elected
Brian MCGINLEY (Lab),814,6.08408,820.08408,40.41248,860.49656,28.10312,888.59968,31.10312,919.7028,72.30936,992.01216,29.10312,1021.11528,87.81603,1108.93131,299.40183,1408.33314,Elected
Ian DOUGLAS (SNP),556,120.85664,676.85664,7.41248,684.26912,19.61872,703.88784,23.72184,727.60968,51.92808,779.53776,4.30936,783.84712,7.33632,791.18344,-791.18344,-,
Alan LAMONT (C),520,0.61872,520.61872,5.20624,525.82496,20.10312,545.92808,14.10312,560.0312,24.10312,584.13432,-584.13432,-,,-,,-,
Chic BRODIE (Ind),232,1.44368,233.44368,3,236.44368,32,268.44368,96.41248,364.85616,-364.85616,-,,-,,-,,-,
Andrew BRYDEN (Ind),185,2.0624,187.0624,17,204.0624,41.10312,245.16552,-245.16552,-,,-,,-,,-,,-,
David John RAMSAY (Ind),180,1.0312,181.0312,8,189.0312,-189.0312,-,,-,,-,,-,,-,,-,
Deirdre KENNEDY (LD),113,1.44368,114.44368,-114.44368,-,,-,,-,,-,,-,,-,,-,
Non-transferable, ,7.22216,7.22216,13.20624,20.4284,25.10312,45.53152,58.82496,104.35648,172.30936,276.66584,53.5156,330.18144,235.70381,565.88525,491.78161,1057.66686,
Totals,4936,,4936,,4936,,4936,,4936,,4936,,4936,,4936,,4936,
 ,,,,,,,,,,,,,,,,,,
,,,1231.25928,,1226.8572,,1218.48949333333,,1198.88117333333,,1141.44472,,1067.90928,,950.057375,,,
,,,271.02184,,246.41352,,215.045813333333,,174.437493333333,,72.7948000000001,,46.7939999999999,,-158.873935,,,
