Election for,"South Ayrshire 2022 - Ward 7 - Maybole, North Carrick and Coylton",,,,,,,,,,,
Date,20 Jun 2025,,,,,,,,,,,
Number to be elected,3,,,,,,,,,,,
Valid votes,4282,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,
Quota,1071,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,
 ,First,Surplus of,,Exclusion of,,Exclusion of,,Surplus of,,Exclusion of,,
Candidates,Preferences,William James GRANT (SNP),,Stephen RALPH (LD),,Laura McEWAN (C),,Iain CAMPBELL (C),,Nicola SAXTON (Lab),,
William James GRANT (SNP),1370,-299,1071,,1071,,1071,,1071,,1071,Elected
Iain CAMPBELL (C),895,8.7296,903.7296,10.43648,914.16608,521.40064,1435.56672,-364.56672,1071,,1071,Elected
Brian CONNOLLY (Ind),756,101.4816,857.4816,35.11072,892.59232,28.30944,920.90176,122.47335,1043.37511,358.88401,1402.25912,Elected
Laura McEWAN (C),623,6.11072,629.11072,6.43648,635.5472,-635.5472,-,,-,,-,
Nicola SAXTON (Lab),532,66.12672,598.12672,53.49504,651.62176,39.0912,690.71296,62.12094,752.8339,-752.8339,-,
Stephen RALPH (LD),106,24.44288,130.44288,-130.44288,-,,-,,-,,-,
Non-transferable, ,92.10848,92.10848,24.96416,117.07264,46.74592,163.81856,179.97243,343.79099,393.94989,737.74088,
Totals,4282,,4282,,4282,,4282,,4282,,4282,
 ,,,,,,,,,,,,
,,,1039.63050666667,,1031.30912,,988.09072,,898.104505,,,
,,,135.900906666667,,117.14304,,67.1889600000002,,-145.270605,,,
