Election for,South Ayrshire 2022 - Ward 8 - Girvan and South Carrick,,,,,,,,,,,,,
Date,20 Jun 2025,,,,,,,,,,,,,
Number to be elected,3,,,,,,,,,,,,,
Valid votes,4056,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,
Quota,1015,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,
 ,First,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Alec CLARK (Ind),,Peter HENDERSON (SNP),,Eileen SPENCE (Alba),,Todor Joseph RADIC (Ind),,Aaron GILPIN (Lab),,Linda KANE (C),,
Alec CLARK (Ind),1277,-262,1015,,1015,,1015,,1015,,1015,,1015,Elected
Peter HENDERSON (SNP),1008,63.18928,1071.18928,-56.18928,1015,,1015,,1015,,1015,,1015,Elected
Gavin SCOTT (C),573,27.28628,600.28628,1.43231,601.71859,5.51522,607.23381,77.57699,684.8108,69.05962,753.87042,617.81594,1371.68636,Elected
Linda KANE (C),563,28.31208,591.31208,1.38927,592.70135,2.25761,594.95896,25.19221,620.15117,114.58776,734.73893,-734.73893,-,
Aaron GILPIN (Lab),358,40.62168,398.62168,12.19806,410.81974,12.51543,423.33517,84.92228,508.25745,-508.25745,-,,-,
Todor Joseph RADIC (Ind),230,56.21384,286.21384,10.74157,296.95541,24.4693,321.42471,-321.42471,-,,-,,-,
Eileen SPENCE (Alba),47,4.51352,51.51352,9.85929,61.37281,-61.37281,-,,-,,-,,-,
Non-transferable, ,41.86332,41.86332,20.56878,62.4321,16.61525,79.04735,133.73323,212.78058,324.61007,537.39065,116.92299,654.31364,
Totals,4056,,4056,,4056,,4056,,4056,,4056,,4056,
 ,,,,,,,,,,,,,,
,,,,,981.78395,,,,906.60971,,744.304675,,,
,,,,,380.06536,,,,221.79891,,-9.56574500000011,,,
