"Election for","South Lanarkshire May 2022 - Ward 3 - Clydesdale East"
"Date","02 Aug 2023"
"Number to be elected",3
"Valid votes",5289
"Invalid votes",0
"Quota",1323.00000
"OpenSTV","1.7"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Ian McAllan (SNP)",,"Alex Allison (C)",,"Gareth Kirk (ScFam)",,"Nicholas Tucker (LD)",,"Claire Watson (Grn)",,"John McLatchie (SNP)",,"Eric Holford (C)",
"Alex Allison (C)",1364,,1364.00000,-41.00000,1323.00000,,1323.00000,,1323.00000,,1323.00000,,1323.00000,,1323.00000,"Elected"
"Ralph Barker (Lab)",869,+7.78534,876.78534,+2.79465,879.57999,+3.06010,882.64009,+69.43144,952.07153,+82.78803,1034.85956,+183.62108,1218.48064,+299.07186,1517.55250,"Elected"
"Eric Holford (C)",794,+3.39039,797.39039,+34.61760,832.00799,+18.09015,850.09814,+31.24577,881.34391,+22.46686,903.81077,+25.32411,929.13488,-929.13488,"-",
"Gareth Kirk (ScFam)",49,+0.37671,49.37671,+0.18030,49.55701,-49.55701,"-",,"-",,"-",,"-",,"-",
"Ian McAllan (SNP)",1513,-190.00000,1323.00000,,1323.00000,,1323.00000,,1323.00000,,1323.00000,,1323.00000,,1323.00000,"Elected"
"John McLatchie (SNP)",260,+159.72504,419.72504,+0.45075,420.17579,+2.25114,422.42693,+9.00456,431.43149,+140.15293,571.58442,-571.58442,"-",,"-",
"Nicholas Tucker (LD)",162,+3.01368,165.01368,+0.57095,165.58463,+6.03005,171.61468,-171.61468,"-",,"-",,"-",,"-",
"Claire Watson (Grn)",278,+10.42231,288.42231,+0.21035,288.63266,+5.00000,293.63266,+32.25033,325.88299,-325.88299,"-",,"-",,"-",
"Non-transferable", ,+5.28653,5.28653,+2.17540,7.46193,+15.12557,22.58750,+29.68258,52.27008,+80.47517,132.74525,+362.63923,495.38448,+630.06302,1125.44750,
"Totals",5289,,5289.00000,,5289.00000,,5289.00000,,5289.00000,,5289.00000,,5289.00000,,5289.00000
