"Election for","South Lanarkshire May 2022 - Ward 4 - Clydesdale South"
"Date","02 Aug 2023"
"Number to be elected",1
"Valid votes",5260
"Invalid votes",0
"Quota",2071.00
"OpenSTV","1.7"
"Election rules","ERS97 STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5
,"First","Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Ann McGuinness (Grn)+Janice Mackay (UKIP)",,"Colin McGavigan (Ind)+Imogen Walker (Lab)",,"George Greenshields (Ind)",,"Ross Lambie (C)",
"Ross Gowland (Lab)",1144,+17.00,1161.00,+219.00,1380.00,+212.00,1592.00,+425.00,2017.00,
"George Greenshields (Ind)",635,+17.00,652.00,+125.00,777.00,-777.00,"-",,"-",
"Mark Horsham (SNP)",1762,+79.00,1841.00,+88.00,1929.00,+136.00,2065.00,+60.00,2125.00,"Elected"
"Ross Lambie (C)",986,+21.00,1007.00,+64.00,1071.00,+162.00,1233.00,-1233.00,"-",
"Janice Mackay (UKIP)",52,-52.00,"-",,"-",,"-",,"-",
"Colin McGavigan (Ind)",298,+23.00,321.00,-321.00,"-",,"-",,"-",
"Ann McGuinness (Grn)",164,-164.00,"-",,"-",,"-",,"-",
"Imogen Walker (Lab)",219,+24.00,243.00,-243.00,"-",,"-",,"-",
"Non-transferable", ,+35.00,35.00,+68.00,103.00,+267.00,370.00,+748.00,1118.00,
"Totals",5260,,5260.00,,5260.00,,5260.00,,5260.00
