"Election for","South Lanarkshire May 2022 - Ward 6 - East Kilbride South"
"Date","02 Aug 2023"
"Number to be elected",1
"Valid votes",5274
"Invalid votes",0
"Quota",2509.00
"OpenSTV","1.7"
"Election rules","ERS97 STV"
,,"Stage",2,"Stage",3,"Stage",4
,"First","Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Iain Leckenby (Alba)+John McKechnie (Grn)+Jonathan Richardson (ScFam)+Ross Gibson (Libtn)",,"Patrick Nailon (C)",,"Geri Gray (SNP)",
"Archie Buchanan (SNP)",1948,+77.00,2025.00,+14.00,2039.00,+556.00,2595.00,"Elected"
"Mathew Buchanan (Lab)",1215,+50.00,1265.00,+176.00,1441.00,+39.00,1480.00,
"Ross Gibson (Libtn)",31,-31.00,"-",,"-",,"-",
"Geri Gray (SNP)",621,+49.00,670.00,+3.00,673.00,-673.00,"-",
"Iain Leckenby (Alba)",57,-57.00,"-",,"-",,"-",
"Paul McGarry (LD)",722,+39.00,761.00,+153.00,914.00,+29.00,943.00,
"John McKechnie (Grn)",154,-154.00,"-",,"-",,"-",
"Patrick Nailon (C)",458,+25.00,483.00,-483.00,"-",,"-",
"Jonathan Richardson (ScFam)",68,-68.00,"-",,"-",,"-",
"Non-transferable", ,+70.00,70.00,+137.00,207.00,+49.00,256.00,
"Totals",5274,,5274.00,,5274.00,,5274.00
