"Election for","South Lanarkshire May 2022 - Ward 6 - East Kilbride South"
"Date","02 Aug 2023"
"Number to be elected",3
"Valid votes",5274
"Invalid votes",0
"Quota",1319.00000
"OpenSTV","1.7"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Archie Buchanan (SNP)",,"Ross Gibson (Libtn)",,"Iain Leckenby (Alba)",,"Jonathan Richardson (ScFam)",,"John McKechnie (Grn)",,"Mathew Buchanan (Lab)",,"Patrick Nailon (C)",,"Paul McGarry (LD)",
"Archie Buchanan (SNP)",1948,-629.00000,1319.00000,,1319.00000,,1319.00000,,1319.00000,,1319.00000,,1319.00000,,1319.00000,,1319.00000,"Elected"
"Mathew Buchanan (Lab)",1215,+57.47442,1272.47442,+9.64578,1282.12020,+4.00000,1286.12020,+14.64578,1300.76598,+35.22890,1335.99488,-16.99488,1319.00000,,1319.00000,,1319.00000,"Elected"
"Ross Gibson (Libtn)",31,+3.22890,34.22890,-34.22890,"-",,"-",,"-",,"-",,"-",,"-",,"-",
"Geri Gray (SNP)",621,+482.39766,1103.39766,+3.29156,1106.68922,+23.90601,1130.59523,+6.32289,1136.91812,+83.14450,1220.06262,+2.90470,1222.96732,+12.33382,1235.30114,+217.92049,1453.22163,"Elected"
"Iain Leckenby (Alba)",57,+6.13491,63.13491,,63.13491,-63.13491,"-",,"-",,"-",,"-",,"-",,"-",
"Paul McGarry (LD)",722,+16.79028,738.79028,+9.32289,748.11317,+2.00000,750.11317,+7.00000,757.11317,+25.26023,782.37340,+5.12038,787.49378,+254.98548,1042.47926,-1042.47926,"-",
"John McKechnie (Grn)",154,+26.15409,180.15409,+2.64578,182.79987,+9.96867,192.76854,+5.64578,198.41432,-198.41432,"-",,"-",,"-",,"-",
"Patrick Nailon (C)",458,+3.87468,461.87468,+2.00000,463.87468,+3.32289,467.19757,+19.00000,486.19757,+4.32289,490.52046,+2.33144,492.85190,-492.85190,"-",,"-",
"Jonathan Richardson (ScFam)",68,+2.26023,70.26023,+2.00000,72.26023,+7.00000,79.26023,-79.26023,"-",,"-",,"-",,"-",,"-",
"Non-transferable", ,+30.68483,30.68483,+5.32289,36.00772,+12.93734,48.94506,+26.64578,75.59084,+50.45780,126.04864,+6.63836,132.68700,+225.53260,358.21960,+824.55877,1182.77837,
"Totals",5274,,5274.00000,,5274.00000,,5274.00000,,5274.00000,,5274.00000,,5274.00000,,5274.00000,,5274.00000
