"Election for","South Lanarkshire May 2022 - Ward 9 - East Kilbride West"
"Date","04 Aug 2023"
"Number to be elected",1
"Valid votes",6709
"Invalid votes",0
"Quota",2689.50
"OpenSTV","1.7"
"Election rules","ERS97 STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5
,"First","Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Denise Hay (ScFam)+Huaiquan Zhang (LD)+Yvonne Mackay (UKIP)",,"Ali Salamati (SNP)",,"David Watson (Ind)",,"Ian Harrow (C)",
"Ian Harrow (C)",1339,+52.00,1391.00,+6.00,1397.00,+249.00,1646.00,-1646.00,"-",
"Denise Hay (ScFam)",110,-110.00,"-",,"-",,"-",,"-",
"Yvonne Mackay (UKIP)",18,-18.00,"-",,"-",,"-",,"-",
"Monique McAdams (Lab)",1780,+63.00,1843.00,+53.00,1896.00,+415.00,2311.00,+707.00,3018.00,"Elected"
"Ali Salamati (SNP)",1031,+24.00,1055.00,-1055.00,"-",,"-",,"-",
"Craig Sloan (SNP)",1041,+14.00,1055.00,+925.00,1980.00,+343.00,2323.00,+38.00,2361.00,
"David Watson (Ind)",1248,+75.00,1323.00,+41.00,1364.00,-1364.00,"-",,"-",
"Huaiquan Zhang (LD)",142,-142.00,"-",,"-",,"-",,"-",
"Non-transferable", ,+42.00,42.00,+30.00,72.00,+357.00,429.00,+901.00,1330.00,
"Totals",6709,,6709.00,,6709.00,,6709.00,,6709.00
