"Election for","South Lanarkshire May 2022 - Ward 9 - East Kilbride West"
"Date","04 Aug 2023"
"Number to be elected",3
"Valid votes",6709
"Invalid votes",0
"Quota",1678.00000
"OpenSTV","1.7"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Surplus of",,"Exclusion of",
"Candidates","Preferences","Monique McAdams (Lab)",,"Yvonne Mackay (UKIP)",,"Denise Hay (ScFam)",,"Huaiquan Zhang (LD)",,"Craig Sloan (SNP)",,"Ali Salamati (SNP)",,"Ian Harrow (C)",
"Ian Harrow (C)",1339,+19.02360,1358.02360,+2.05730,1360.08090,+35.40110,1395.48200,+31.38070,1426.86270,+14.45840,1441.32110,+6.76463,1448.08573,-1448.08573,"-",
"Denise Hay (ScFam)",110,+2.57850,112.57850,+9.11460,121.69310,-121.69310,"-",,"-",,"-",,"-",,"-",
"Yvonne Mackay (UKIP)",18,+0.74490,18.74490,-18.74490,"-",,"-",,"-",,"-",,"-",,"-",
"Monique McAdams (Lab)",1780,-102.00000,1678.00000,,1678.00000,,1678.00000,,1678.00000,,1678.00000,,1678.00000,,1678.00000,"Elected"
"Ali Salamati (SNP)",1031,+8.07930,1039.07930,+1.00000,1040.07930,+11.11460,1051.19390,+21.60440,1072.79830,+889.95370,1962.75200,-284.75200,1678.00000,,1678.00000,"Elected"
"Craig Sloan (SNP)",1041,+7.50630,1048.50630,+1.00000,1049.50630,+4.28650,1053.79280,+14.51570,1068.30850,-1068.30850,"-",,"-",,"-",
"David Watson (Ind)",1248,+21.54480,1269.54480,+1.17190,1270.71670,+38.91680,1309.63350,+55.69860,1365.33210,+93.08870,1458.42080,+97.14015,1555.56095,+665.06206,2220.62301,"Elected"
"Huaiquan Zhang (LD)",142,+16.55970,158.55970,+0.05730,158.61700,+7.40110,166.01810,-166.01810,"-",,"-",,"-",,"-",
"Non-transferable", ,+25.96290,25.96290,+4.34380,30.30670,+24.57300,54.87970,+42.81870,97.69840,+70.80770,168.50610,+180.84722,349.35332,+783.02367,1132.37699,
"Totals",6709,,6709.00000,,6709.00000,,6709.00000,,6709.00000,,6709.00000,,6709.00000,,6709.00000
