"Election for","South Lanarkshire May 2022 - Ward 14 - Cambuslang East"
"Date","04 Aug 2023"
"Number to be elected",3
"Valid votes",5104
"Invalid votes",0
"Quota",1277.00000
"OpenSTV","1.7"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7
,"First","Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Walter Brogan (Lab)",,"Muhammad Khuzaima (Alba)",,"Robert Bell (LD)",,"Marie Gallagher (Grn)",,"Jamie Logan (C)",,"Amy Fraioli (Lab)",
"Robert Bell (LD)",147,+6.04752,153.04752,+9.14064,162.18816,-162.18816,"-",,"-",,"-",,"-",
"Walter Brogan (Lab)",1486,-209.00000,1277.00000,,1277.00000,,1277.00000,,1277.00000,,1277.00000,,1277.00000,"Elected"
"Amy Fraioli (Lab)",524,+164.40816,688.40816,+9.00000,697.40816,+63.09408,760.50224,+47.68768,808.18992,+238.20368,1046.39360,-1046.39360,"-",
"Alistair Fulton (SNP)",1123,+6.75072,1129.75072,+18.14064,1147.89136,+14.42192,1162.31328,+57.42192,1219.73520,+10.28128,1230.01648,+151.92432,1381.94080,"Elected"
"Marie Gallagher (Grn)",204,+3.79728,207.79728,+19.00000,226.79728,+22.56256,249.35984,-249.35984,"-",,"-",,"-",
"Muhammad Khuzaima (Alba)",94,+0.42192,94.42192,-94.42192,"-",,"-",,"-",,"-",,"-",
"Jamie Logan (C)",489,+8.15712,497.15712,+2.00000,499.15712,+23.54704,522.70416,+16.42192,539.12608,-539.12608,"-",,"-",
"Katy Loudon (SNP)",1037,+4.64112,1041.64112,+24.00000,1065.64112,+7.00000,1072.64112,+84.42192,1157.06304,+15.14064,1172.20368,+118.50144,1290.70512,"Elected"
"Non-transferable", ,+14.77616,14.77616,+13.14064,27.91680,+31.56256,59.47936,+43.40640,102.88576,+275.50048,378.38624,+775.96784,1154.35408,
"Totals",5104,,5104.00000,,5104.00000,,5104.00000,,5104.00000,,5104.00000,,5104.00000
