"Election for","South Lanarkshire May 2022 - Ward 20 - Larkhall"
"Date","04 Aug 2023"
"Number to be elected",4
"Valid votes",6193
"Invalid votes",0
"Quota",1239.00000
"OpenSTV","1.7"
"Election rules","Scottish STV"
,,"Stage",2,"Stage",3,"Stage",4,"Stage",5,"Stage",6,"Stage",7,"Stage",8,"Stage",9
,"First","Surplus of",,"Surplus of",,"Surplus of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",,"Exclusion of",
"Candidates","Preferences","Andy Carmichael (Lab)",,"Richard Nelson (C)",,"Ross Clark (SNP)",,"David Laird (Libtn)",,"Donald Mackay (UKIP)",,"Jake Stevenson (LD)",,"George Sutherland (SNP)",,"Jackie Burns (Ind)",
"Jackie Burns (Ind)",639,+40.78998,679.78998,+45.21234,725.00232,+7.45131,732.45363,+10.53963,742.99326,+10.99257,753.98583,+42.15428,796.14011,+90.04090,886.18101,-886.18101,"-",
"Andy Carmichael (Lab)",1580,-341.00000,1239.00000,,1239.00000,,1239.00000,,1239.00000,,1239.00000,,1239.00000,,1239.00000,,1239.00000,"Elected"
"Ross Clark (SNP)",1389,,1389.00000,,1389.00000,-150.00000,1239.00000,,1239.00000,,1239.00000,,1239.00000,,1239.00000,,1239.00000,"Elected"
"David Laird (Libtn)",36,+5.61132,41.61132,+3.30822,44.91954,+0.64794,45.56748,-45.56748,"-",,"-",,"-",,"-",,"-",
"Donald Mackay (UKIP)",21,+4.31640,25.31640,+30.87672,56.19312,+0.53995,56.73307,+7.18184,63.91491,-63.91491,"-",,"-",,"-",,"-",
"Lesley McDonald (Lab)",463,+215.60418,678.60418,+67.08335,745.68753,+7.12734,752.81487,+6.41795,759.23282,+10.44434,769.67716,+62.29634,831.97350,+143.46344,975.43694,+404.03976,1379.47670,"Elected"
"Richard Nelson (C)",1518,,1518.00000,-279.00000,1239.00000,,1239.00000,,1239.00000,,1239.00000,,1239.00000,,1239.00000,,1239.00000,"Elected"
"Jake Stevenson (LD)",148,+9.06444,157.06444,+42.45549,199.51993,+2.69975,202.21968,+9.03024,211.24992,+12.12913,223.37905,-223.37905,"-",,"-",,"-",
"George Sutherland (SNP)",399,+9.71190,408.71190,+2.20548,410.91738,+121.48875,532.40613,,532.40613,+0.61559,533.02172,+16.69024,549.71196,-549.71196,"-",,"-",
"Non-transferable", ,+55.90178,55.90178,+87.85840,143.76018,+10.04496,153.80514,+12.39782,166.20296,+29.73328,195.93624,+102.23819,298.17443,+316.20762,614.38205,+482.14125,1096.52330,
"Totals",6193,,6193.00000,,6193.00000,,6193.00000,,6193.00000,,6193.00000,,6193.00000,,6193.00000,,6193.00000
