Election for,Scottish Borders 2022 - Ward 1 - Tweeddale West,,,,,,,,,
Date,18 Jun 2025,,,,,,,,,
Number to be elected,3,,,,,,,,,
Valid votes,4829,,,,,,,,,
Invalid votes,0,,,,,,,,,
Quota,1208,,,,,,,,,
OpenSTV,1.7,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,
 ,First,Surplus of,,Exclusion of,,Surplus of,,Exclusion of,,
Candidates,Preferences,Viv THOMSON (SNP),,Julia REID (Lab),,Drummond BEGG (LD),,John SMITH (C),,
Viv THOMSON (SNP),1266,-58,1208,,1208,,1208,,1208,Elected
Drummond BEGG (LD),1100,7.83351,1107.83351,149.74078,1257.57429,-49.57429,1208,,1208,Elected
Eric SMALL (C),893,1.32849,894.32849,21.09162,915.42011,11.13984,926.55995,411.91313,1338.47308,Elected
Dominic ASHMOLE (Grn),792,37.33515,829.33515,75.96983,905.30498,21.44916,926.75414,20.4986,947.25274,
John SMITH (C),466,0.36648,466.36648,6.04581,472.41229,3.82734,476.23963,-476.23963,-,
Julia REID (Lab),312,4.44357,316.44357,-316.44357,-,,-,,-,
Non-transferable, ,6.6928,6.6928,63.59553,70.28833,13.15795,83.44628,43.8279,127.27418,
Totals,4829,,4829,,4829,,4829,,4829,
 ,,,,,,,,,,
,,,1204.76906666667,,1171.355835,,1164.77686,,1142.86291,
,,,96.9355566666668,,255.935725,,238.02272,,-195.61017,
