Election for,Scottish Borders 2022 - Ward 4 - Selkirkshire,,,,,,,
Date,18 Jun 2025,,,,,,,
Number to be elected,3,,,,,,,
Valid votes,4007,,,,,,,
Invalid votes,0,,,,,,,
Quota,1002,,,,,,,
OpenSTV,1.7,,,,,,,
Election rules,Scottish STV,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,
 ,First,Surplus of,,Surplus of,,Exclusion of,,
Candidates,Preferences,Caroline COCHRANE (Ind),,Leagh DOUGLAS (C),,Barbra HARVIE (Grn),,
Caroline COCHRANE (Ind),1423,-421,1002,,1002,,1002,Elected
Leagh DOUGLAS (C),1049,,1049,-47,1002,,1002,Elected
Elaine THORNTON-NICOL (SNP),873,70.70815,943.70815,1.4336,945.14175,128.1028,1073.24455,Elected
Scott REDPATH (Lab),223,57.69075,280.69075,6.048,286.73875,49.8704,336.60915,
Barbra HARVIE (Grn),222,44.08165,266.08165,2.1504,268.23205,-268.23205,-,
Gordon EDGAR (Ind),217,93.19275,310.19275,17.1136,327.30635,44.38785,371.6942,
Non-transferable, ,155.3267,155.3267,20.2544,175.5811,45.871,221.4521,
Totals,4007,,4007,,4007,,4007,
 ,,,,,,,,
,,,923.83665,,,,,
