Election for,Scottish Borders 2022 - Ward 5 - Leaderdale and Melrose,,,,,,,,,,,
Date,18 Jun 2025,,,,,,,,,,,
Number to be elected,3,,,,,,,,,,,
Valid votes,4650,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,
Quota,1163,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,
 ,First,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,David PARKER (Ind),,Jenny LINEHAN (C),,Chris STEFANEK (Vanguard),,Michael NEEDHAM (Grn),,Michael SCOTT (Lab),,
David PARKER (Ind),1594,-431,1163,,1163,,1163,,1163,,1163,Elected
Jenny LINEHAN (C),1133,108.42238,1241.42238,-78.42238,1163,,1163,,1163,,1163,Elected
John PATONDAY (SNP),918,85.44008,1003.44008,0.963,1004.40308,1.81114,1006.21422,104.98571,1111.19993,68.92,1180.11993,Elected
Simon JOHNSON (LD),589,97.87756,686.87756,31.85091,718.72847,5.68421,724.41268,67.35153,791.76421,114.17992,905.94413,
Michael SCOTT (Lab),207,33.25674,240.25674,6.78331,247.04005,3.14407,250.18412,34.07343,284.25755,-284.25755,-,
Michael NEEDHAM (Grn),199,28.66028,227.66028,1.78421,229.44449,1.93748,231.38197,-231.38197,-,,-,
Chris STEFANEK (Vanguard),10,4.59646,14.59646,2.23155,16.82801,-16.82801,-,,-,,-,
Non-transferable, ,72.7465,72.7465,34.8094,107.5559,4.25111,111.80701,24.9713,136.77831,101.15763,237.93594,
Totals,4650,,4650,,4650,,4650,,4650,,4650,
 ,,,,,,,,,,,,
,,,1125.62675,,1108.22205,,,,1093.610845,,,
,,,122.18667,,103.81897,,,,-17.5890849999998,,,
