Election for,Scottish Borders 2022 - Ward 6 - Mid Berwickshire,,,,,,,,,,,,,
Date,18 Jun 2025,,,,,,,,,,,,,
Number to be elected,3,,,,,,,,,,,,,
Valid votes,4178,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,
Quota,1045,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,
 ,First,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,John GREENWELL (C),,Donald MOFFAT (SNP),,Hamish GOLDIE-SCOT (ScFam),,David George SMITH (Lab),,Gail JACKSON (Grn),,Yvonne HUGGINS-HAIG (LD),,
John GREENWELL (C),1213,-168,1045,,1045,,1045,,1045,,1045,,1045,Elected
Donald MOFFAT (SNP),1079,,1079,-34,1045,,1045,,1045,,1045,,1045,Elected
Mark ROWLEY (C),715,127.82627,842.82627,1.48097,844.30724,46.78698,891.09422,28.23396,919.32818,23.03906,942.36724,220.55587,1162.92311,Elected
Yvonne HUGGINS-HAIG (LD),479,12.32561,491.32561,5.19915,496.52476,22.91302,519.43778,101.43228,620.87006,208.70673,829.57679,-829.57679,-,
Gail JACKSON (Grn),292,2.7698,294.7698,14.52611,309.29591,18.8251,328.12101,68.62117,396.74218,-396.74218,-,,-,
David George SMITH (Lab),254,5.12413,259.12413,4.97858,264.10271,8.15755,272.26026,-272.26026,-,,-,,-,
Hamish GOLDIE-SCOT (ScFam),146,2.35433,148.35433,1.2604,149.61473,-149.61473,-,,-,,-,,-,
Non-transferable, ,17.59986,17.59986,6.55479,24.15465,52.93208,77.08673,73.97285,151.05958,164.99639,316.05597,609.02092,925.07689,
Totals,4178,,4178,,4178,,4178,,4178,,4178,,4178,
 ,,,,,,,,,,,,,,
,,,,,1031.922675,,1005.456635,,968.47021,,885.972015,,,
,,,,,187.615435,,114.362415,,49.14203,,-56.395225,,,
