Election for,Scottish Borders 2022 - Ward 7 - East Berwickshire,,,,,,,,,,,,,,,
Date,18 Jun 2025,,,,,,,,,,,,,,,
Number to be elected,3,,,,,,,,,,,,,,,
Valid votes,4238,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,
Quota,1060,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,
 ,First,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Surplus of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Carol HAMILTON (C),,Edward Brownlie PRENTICE (ScFam),,Peter GUTHRIE (Grn),,Paul STIRTON (Lab),,Aileen ORR (SNP),,Raquel LLOYD-JONES (Ind),,Lynda JONES (C),,
Carol HAMILTON (C),1328,-268,1060,,1060,,1060,,1060,,1060,,1060,,1060,Elected
Aileen ORR (SNP),899,2.2198,901.2198,3,904.2198,91,995.2198,83.6054,1078.8252,-18.8252,1060,,1060,,1060,Elected
James ANDERSON (Ind),562,10.6954,572.6954,4,576.6954,28,604.6954,64.2108,668.9062,3.7776,672.6838,240.9728,913.6566,210.07556,1123.73216,Elected
Raquel LLOYD-JONES (Ind),466,17.5566,483.5566,4.2018,487.7584,37.6054,525.3638,90.4036,615.7674,5.16928,620.93668,-620.93668,-,,-,
Lynda JONES (C),409,215.5224,624.5224,7.8072,632.3296,11.009,643.3386,23.009,666.3476,0.58256,666.93016,91.06204,757.9922,-757.9922,-,
Paul STIRTON (Lab),296,3.8342,299.8342,1,300.8342,54.4036,355.2378,-355.2378,-,,-,,-,,-,
Peter GUTHRIE (Grn),245,3.027,248.027,1.2018,249.2288,-249.2288,-,,-,,-,,-,,-,
Edward Brownlie PRENTICE (ScFam),33,2.018,35.018,-35.018,-,,-,,-,,-,,-,,-,
Non-transferable, ,13.1266,13.1266,13.8072,26.9338,27.2108,54.1446,94.009,148.1536,9.29576,157.44936,288.90184,446.3512,547.91664,994.26784,
Totals,4238,,4238,,4238,,4238,,4238,,4238,,4238,,4238,
 ,,,,,,,,,,,,,,,,
,,,1054.9578,,,,1041.28513333333,,984.9232,,980.27532,,835.8244,,,
,,,153.738,,,,46.0653333333336,,316.017,,307.59152,,-77.8322000000001,,,
