Election for,Ward 3 - Shetland West,,,,,,,,,,,,,,,
Date,05 Aug 2025,,,,,,,,,,,,,,,
Number to be elected,2,,,,,,,,,,,,,,,
Valid votes,758,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,
Quota,253,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,
 ,First,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Liz BOXWELL (Ind),,Peter James FRASER (Ind),,Ian TINKLER (Ind),,Andrew HOLT (Ind),,Zara PENNINGTON (SNP),,Debra NICOLSON (Grn),,Mark ROBINSON (Ind),,
Liz BOXWELL (Ind),298,-45,253,,253,,253,,253,,253,,253,,253,Elected
John Robert LEASK (Ind),135,19.026,154.026,0.453,154.479,4.151,158.63,13.057,171.687,7.208,178.895,26.302,205.197,93.795,298.992,Elected
Mark ROBINSON (Ind),128,14.345,142.345,1.302,143.647,7.151,150.798,13.604,164.402,6.151,170.553,27.906,198.459,-198.459,-,
Debra NICOLSON (Grn),69,1.359,70.359,1.151,71.51,,71.51,10.151,81.661,37.302,118.963,-118.963,-,,-,
Zara PENNINGTON (SNP),59,1.963,60.963,0.453,61.416,0.302,61.718,3.151,64.869,-64.869,-,,-,,-,
Andrew HOLT (Ind),43,3.02,46.02,1.302,47.322,3,50.322,-50.322,-,,-,,-,,-,
Ian TINKLER (Ind),21,0.604,21.604,,21.604,-21.604,-,,-,,-,,-,,-,
Peter James FRASER (Ind),5,1.963,6.963,-6.963,-,,-,,-,,-,,-,,-,
Non-transferable, ,2.72,2.72,2.302,5.022,7,12.022,10.359,22.381,14.208,36.589,64.755,101.344,104.664,206.008,
Totals,758,,758,,758,,758,,758,,758,,758,,758,
 ,,,,,,,,,,,,,,,,
,,,251.14,,,,246.489,,241.3095,,,,201.828,,,
,,,97.114,,,,87.859,,69.6225,,,,-3.36900000000003,,,
