Election for,Ward 5 - Lerwick North and Bressay,,,,,,,,,
Date,05 Aug 2025,,,,,,,,,
Number to be elected,3,,,,,,,,,
Valid votes,928,,,,,,,,,
Invalid votes,0,,,,,,,,,
Quota,233,,,,,,,,,
OpenSTV,1.7,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,
 ,First,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Stephen LEASK (Ind),,Gary ROBINSON (Ind),,Stephen FERGUSON (Ind),,Marie WILLIAMSON (Ind),,
Stephen LEASK (Ind),310,-77,233,,233,,233,,233,Elected
Gary ROBINSON (Ind),301,,301,-68,233,,233,,233,Elected
Arwed WENGER (Ind),136,28.81208,164.81208,25.07601,189.88809,31.0854,220.97349,91.12586,312.09935,Elected
Marie WILLIAMSON (Ind),115,18.6285,133.6285,12.65096,146.27946,26.74714,173.0266,-173.0266,-,
Stephen FERGUSON (Ind),66,13.6609,79.6609,13.32869,92.98959,-92.98959,-,,-,
Non-transferable, ,15.89852,15.89852,16.94434,32.84286,35.15705,67.99991,81.90074,149.90065,
Totals,928,,928,,928,,928,,928,
 ,,,,,,,,,,
,,,,,214.57857,,197.000045,,,
,,,,,24.69048,,-23.973445,,,
