Election for,Ward 6 - Lerwick South,,,,,,,,,,,
Date,05 Aug 2025,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,
Valid votes,1344,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,
Quota,269,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,
 ,First,Surplus of,,Exclusion of,,Surplus of,,Surplus of,,Exclusion of,,
Candidates,Preferences,Dennis LEASK (Ind),,Shayne Charles MCLEOD (Ind),,John Finlay Sinclair FRASER (Ind),,Cecil Laing SMITH (Ind),,Peter COLEMAN,,
Dennis LEASK (Ind),302,-33,269,,269,,269,,269,,269,Elected
John Finlay Sinclair FRASER (Ind),262,6.22839,268.22839,21.43708,289.66547,-20.66547,269,,269,,269,Elected
Cecil Laing SMITH (Ind),251,6.44693,257.44693,18.43708,275.88401,,275.88401,-6.88401,269,,269,Elected
Neil PEARSON (Ind),171,6.88401,177.88401,28.20197,206.08598,7.48701,213.57299,1.49334,215.06633,66.19432,281.26065,Elected
Amanda HAWICK (Ind),153,3.93372,156.93372,11.43708,168.3708,5.40503,173.77583,2.50494,176.28077,32.43905,208.71982,
Peter COLEMAN (Ind),106,3.2781,109.2781,11.32781,120.60591,3.38291,123.98882,1.33276,125.32158,-125.32158,-,
Shayne Charles MCLEOD (Ind),99,3.49664,102.49664,-102.49664,-,,-,,-,,-,
Non-transferable, ,2.73221,2.73221,11.65562,14.38783,4.39052,18.77835,1.55297,20.33132,26.68821,47.01953,
Totals,1344,,1344,,1344,,1344,,1344,,1344,
 ,,,,,,,,,,,,
,,,268.013133333333,,261.306085,,259.110825,,258.33434,,244.990235,
,,,-0.215256666666619,,55.220105,,45.537835,,43.26801,,-36.270415,
