Election for,Stirling 2022 - Ward 1 - Trossachs and Teith,,,,,,,,,,,,,,,
Date,27 Nov 2024,,,,,,,,,,,,,,,
Number to be elected,3,,,,,,,,,,,,,,,
Valid votes,5372,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,
Quota,1344,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,
 ,First,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Surplus of,,Exclusion of,,
Candidates,Preferences,Martin EARL (C),,Dolores HUGHES (ScFam),,Galen MILNE (LD),,Wendy FAULKNER (Grn),,Josh HAMILTON (Lab),,Gene MAXWELL (SNP),,John WATSON (SNP),,
Martin EARL (C),2031,-687,1344,,1344,,1344,,1344,,1344,,1344,,1344,Elected
Gene MAXWELL (SNP),1031,21.98625,1052.98625,1,1053.98625,10.6765,1064.66275,173.765,1238.42775,139.07375,1377.5015,-33.5015,1344,,1344,Elected
John WATSON (SNP),761,12.51525,773.51525,1,774.51525,11.01475,785.53,88.706,874.236,71.01475,945.25075,29.409,974.65975,-974.65975,-,
Josh HAMILTON (Lab),491,39.57525,530.57525,4.33825,534.9135,75.1475,610.061,154.10325,764.16425,-764.16425,-,,-,,-,
Wendy FAULKNER (Grn),444,36.19275,480.19275,5.33825,485.531,52.04425,537.57525,-537.57525,-,,-,,-,,-,
Elaine WATTERSON (C),385,496.551,881.551,11.72075,893.27175,33.471,926.74275,24.13275,950.8755,127.942,1078.8175,0.42336,1079.24086,183.12836,1262.36922,Elected
Galen MILNE (LD),188,30.4425,218.4425,5.33825,223.78075,-223.78075,-,,-,,-,,-,,-,
Dolores HUGHES (ScFam),41,5.07375,46.07375,-46.07375,-,,-,,-,,-,,-,,-,
Non-transferable,,44.66325,44.66325,17.33825,62.0015,41.42675,103.42825,96.86825,200.2965,426.13375,626.43025,3.66914,630.09939,791.53139,1421.63078,
Totals,5372,,5372,,5372,,5372,,5372,,5372,,5372,,5372,
 ,,,,,,,,,,,,,,,,
