Election for,Stirling 2022 - Ward 3 - Dunblane and Bridge of Allan,,,,,,,,,,,,,,,,,,,
Date,27 Nov 2024,,,,,,,,,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,,,,,,,,,
Valid votes,7097,,,,,,,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,,,,,,,
Quota,1420,,,,,,,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,Stage,8,Stage,9,Stage,10,
 ,First,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Douglas DODDS (C),,Nickie WILLIS (ScFam),,Bill COWAN (Alba),,Alastair George MAJURY (Ind),,Ahsan KHAN (SNP),,Graham HOUSTON (SNP),,Alasdair TOLLEMACHE (Grn),,Fayzan REHMAN (LD),,Willy STIRLING (C),,
Douglas DODDS (C),1536,-116,1420,,1420,,1420,,1420,,1420,,1420,,1420,,1420,,1420,Elected
Graham HOUSTON (SNP),1266,1.96352,1267.96352,1,1268.96352,24,1292.96352,24.30208,1317.2656,498.07552,1815.34112,-395.34112,1420,,1420,,1420,,1420,Elected
Alasdair TOLLEMACHE (Grn),1138,3.0208,1141.0208,6,1147.0208,9,1156.0208,51.45312,1207.47392,53.07552,1260.54944,205.84197,1466.39141,-46.39141,1420,,1420,,1420,Elected
Ewan DILLON (Lab),842,4.9088,846.9088,4,850.9088,6,856.9088,44.22656,901.13536,9,910.13536,47.30541,957.44077,13.7879,971.22867,359.29614,1330.52481,246.48424,1577.00905,Elected
Fayzan REHMAN (LD),665,4.1536,669.1536,5.07552,674.22912,,674.22912,74.05728,748.2864,12,760.2864,25.2942,785.5806,14.0148,799.5954,-799.5954,-,,-,
Willy STIRLING (C),598,88.20736,686.20736,15.22656,701.43392,4,705.43392,113.56768,819.0016,,819.0016,4.26915,823.27075,1.66666,824.93741,131.06432,956.00173,-956.00173,-,
Ahsan KHAN (SNP),564,0.22656,564.22656,,564.22656,5,569.22656,12,581.22656,-581.22656,-,,-,,-,,-,,-,
Alastair George MAJURY (Ind),377,5.21088,382.21088,5,387.21088,9,396.21088,-396.21088,-,,-,,-,,-,,-,,-,
Bill COWAN (Alba),61,0.07552,61.07552,3,64.07552,-64.07552,-,,-,,-,,-,,-,,-,,-,
Nickie WILLIS (ScFam),50,0.30208,50.30208,-50.30208,-,,-,,-,,-,,-,,-,,-,,-,
Non-transferable, ,7.93088,7.93088,11,18.93088,7.07552,26.0064,76.60416,102.61056,9.07552,111.68608,112.63039,224.31647,16.92205,241.23852,309.23494,550.47346,709.51749,1259.99095,
Totals,7097,,7097,,7097,,7097,,7097,,7097,,7097,,7097,,7097,,7097,
 ,,,,,,,,,,,,,,,,,,,,
