Election for,Stirling 2022 - Ward 4 - Stirling North,,,,,,,,,,,,,
Date,27 Nov 2024,,,,,,,,,,,,,
Number to be elected,4,,,,,,,,,,,,,
Valid votes,5086,,,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,,,
Quota,1018,,,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,Stage,7,
 ,First,Surplus of,,Surplus of,,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Susan MCGILL (SNP),,Rachel NUNN (C),,Danny GIBSON (Lab),,Shena MCLELLAND (ScFam),,Oliver FRANKLIN (LD),,Amy SMITH (Grn),,
Susan MCGILL (SNP),1305,-287,1018,,1018,,1018,,1018,,1018,,1018,Elected
Rachel NUNN (C),1161,,1161,-143,1018,,1018,,1018,,1018,,1018,Elected
Danny GIBSON (Lab),1029,,1029,,1029,-11,1018,,1018,,1018,,1018,Elected
Amy SMITH (Grn),695,32.32824,727.32824,8.25172,735.57996,2.2962,737.87616,13.80968,751.68584,100.42168,852.10752,-852.10752,-,
Jim THOMSON (SNP),642,230.69608,872.69608,5.5422,878.23828,1.35636,879.59464,6.71316,886.3078,22.06164,908.36944,566.4016,1474.77104,Elected
Oliver FRANKLIN (LD),190,5.27808,195.27808,58.87048,254.14856,3.48168,257.63024,18.57824,276.20848,-276.20848,-,,-,
Shena MCLELLAND (ScFam),64,0.87968,64.87968,12.80864,77.68832,0.5874,78.27572,-78.27572,-,,-,,-,
Non-transferable, ,17.81792,17.81792,57.52696,75.34488,3.27836,78.62324,39.17464,117.79788,153.72516,271.52304,285.70592,557.22896,
Totals,5086,,5086,,5086,,5086,,5086,,5086,,5086,
 ,,,,,,,,,,,,,,
