Election for,Stirling 2022 - Ward 6 - Stirling East,,,,,,,,,,,
Date,27 Nov 2024,,,,,,,,,,,
Number to be elected,3,,,,,,,,,,,
Valid votes,3834,,,,,,,,,,,
Invalid votes,0,,,,,,,,,,,
Quota,959,,,,,,,,,,,
OpenSTV,1.7,,,,,,,,,,,
Election rules,Scottish STV,,,,,,,,,,,
 ,,Stage,2,Stage,3,Stage,4,Stage,5,Stage,6,
 ,First,Surplus of,,Exclusion of,,Exclusion of,,Exclusion of,,Exclusion of,,
Candidates,Preferences,Gerry MCLAUGHLAN (SNP),,David TORTOLANO (ScFam),,Gordon MURPHY (LD),,Linda HENDRY (Grn),,Gary MCGROW (Ind),,
Gerry MCLAUGHLAN (SNP),1177,-218,959,,959,,959,,959,,959,Elected
Bryan FLANNAGAN (C),893,2.03731,895.03731,10,905.03731,20,925.03731,6.18521,931.22252,68,999.22252,Elected
Chris KANE (Lab),829,10.37176,839.37176,9,848.37176,29.37042,877.74218,56.11126,933.85344,85.74084,1019.59428,Elected
Grant THOMS (SNP),306,182.43185,488.43185,9,497.43185,4.74084,502.17269,76.5563,578.72899,71.22252,649.95151,
Gary MCGROW (Ind),303,2.77815,305.77815,5,310.77815,12.18521,322.96336,36.74084,359.7042,-359.7042,-,
Linda HENDRY (Grn),182,7.77882,189.77882,4.37042,194.14924,19.74084,213.89008,-213.89008,-,,-,
Gordon MURPHY (LD),91,2.22252,93.22252,5,98.22252,-98.22252,-,,-,,-,
David TORTOLANO (ScFam),53,0.55563,53.55563,-53.55563,-,,-,,-,,-,
Non-transferable, ,9.82396,9.82396,11.18521,21.00917,12.18521,33.19438,38.29647,71.49085,134.74084,206.23169,
Totals,3834,,3834,,3834,,3834,,3834,,3834,
 ,,,,,,,,,,,,
