Election for,West Dunbartonshire 2022 - Ward 4 - Kilpatrick,,,
Date,09 Mar 2025,,,
Number to be elected,3,,,
Valid votes,3876,,,
Invalid votes,0,,,
Quota,970,,,
OpenSTV,1.7,,,
Election rules,Scottish STV,,,
 ,,Stage,2,
 ,First,Surplus of,,
Candidates,Preferences,Douglas MCALLISTER (Lab),,
Douglas MCALLISTER (Lab),1903,-933,970,Elected
GORDON SCANLAN (SNP),986,,986,Elected
MARINA SCANLAN (SNP),486,38.24106,524.24106,
Lawrence O'NEILL (Lab),272,748.64229,1020.64229,Elected
David JARDINE (C),229,40.69241,269.69241,
Non-transferable, ,105.42424,105.42424,
Totals,3876,,3876,
 ,,,,
